t33418aep|ZBED8_BOVIN,0
t32423aep|CADA_STAAR,0.0134691386818503
t32416aep|COMD8_HUMAN,-0.000795720111400143
t32413aep|NTPES_BACSU,-0.0155106477276608
t36940aep|ROP1L_XENLA,0.0236236249640664
t36953aep|RBM26_HUMAN,0.101878538943461
t36948aep|RM54_HUMAN,0.0558125463592881
t36944aep|CFA74_MOUSE,-0.0824942695963551
t36946aep|ELOV5_XENTR,0.64951362623375
t36938aep|SYT15_HUMAN,0.0126468773464154
t36947aep|MFSD6_MOUSE,0
t33893aep|MCPI_MELCP,0
t33901aep|KLC4_BOVIN,0
t33904aep|TFB1M_XENTR,-0.0457221133372309
t33900aep|SIP2_YEAST,-0.0852485839285314
t33907aep|BRAT1_MOUSE,0.0825771575705294
t32091aep|5HT1D_TAKRU,0
t33627aep|VMP1_DANRE,0.00701396799860379
t33622aep|OTX1B_DANRE,0.0163791839347943
t33620aep|SYT7_HUMAN,-0.0336974998117193
t33626aep|PFLD_ECOLI,0.0055938064476898
t36961aep|TRAF4_HUMAN,-0.00156197055486636
t31714aep|KLC4_RAT,0
t31713aep|TBA_NOTVI,1.96763025323357
t31719aep|VATC_MANSE,-0.0760738726689097
t31717aep|AB17C_DANRE,0
t33194aep|UBP54_RAT,0.0541859217823457
t33193aep|RSBNL_HUMAN,0.0684810066467434
t33185aep|RTJK_DROME,0
t33183aep|PNKP_HUMAN,-0.0834609414819037
t33195aep|RA54B_CHICK,0.0152765173657809
t33189aep|IQCA1_HUMAN,0
t33188aep|ADCY9_HUMAN,-0.0807205909830287
t33191aep|ALRA_DICDI,0.0716230897759546
t37636aep|FAT2_DROME,0
t37632aep|LGR5_XENTR,0
t37624aep|VATF_HUMAN,0.345513421525347
t37623aep|RHES_HUMAN,0.00916068930848426
t37622aep|NEK4_MOUSE,-0.00749955489777885
t37627aep|CD2B2_MOUSE,0.0927848297233947
t37634aep|KELP_ARATH,0.346375403280411
t37637aep|DYHC_HELCR,-0.00923706506076967
t36963aep|PPID_HUMAN,0.0707827353156699
t36579aep|YL728_MIMIV,0
t36574aep|OPN4B_XENLA,0
t36583aep|CSTF3_MOUSE,-0.0144017328101979
t36590aep|GLYM_HUMAN,-0.0155451649794252
t36573aep|LTBP4_HUMAN,0.246840834170979
t36585aep|CALM_MACPY,0.0133491545647902
t36580aep|S39AD_DANRE,-0.16095720241378
t34754aep|FXC2B_XENLA,0.00535961879348529
t34760aep|QORL1_MOUSE,-0.0142112764275236
t34762aep|TYDP2_RAT,0.0227486803725384
t34765aep|ZBED4_HUMAN,0
t34759aep|TDRD5_AILME,-0.010966071329663
t34764aep|RSU1_BOVIN,0.396702201243674
t34577aep|ARSB_RAT,0.0126469660719757
t34564aep|YMH6_CAEEL,0.0564526512516791
t34581aep|PELI1_MOUSE,0.114979056302087
t38671aep|SETD7_HUMAN,-0.000482407430914288
t38685aep|TBP_XENTR,0.216799364840257
t38683aep|H10A_XENLA,-0.00537814009073559
t38674aep|S7A14_HUMAN,0.194523821349094
t38670aep|RADI_BOVIN,1.32919451823022
t38686aep|PIF1_PSYWF,0
t38672aep|SHL2_ORYSJ,0
t38673aep|RDR2_ORYSJ,0
t38687aep|PTPRD_MOUSE,0
t38680aep|PGAP3_XENTR,0.0257857718744736
t36972aep|FUCM_HUMAN,0.144282159709114
t32838aep|RASLC_DANRE,-0.00970530905335521
t32855aep|ZN205_BOVIN,0.0301790140742742
t32845aep|KTI12_DANRE,0.0195227763645356
t32852aep|NPC2_DROME,-0.0187179343675685
t32851aep|STX18_HUMAN,0.0833662678528714
t32840aep|CNOT2_HUMAN,-0.0295088593038279
t36490aep|CCD81_HUMAN,0.0131897428688561
t36502aep|NPHP3_HUMAN,-0.00388998596429909
t36483aep|TAF8_DANRE,0.0550523002093506
t36499aep|S22A5_HUMAN,0.245530395273699
t36496aep|TNAP3_MACFA,0.0711179811758436
t36491aep|VP37B_HUMAN,0.0279579601462835
t36495aep|TTC17_HUMAN,0
t36488aep|TIGD2_MOUSE,0
t36486aep|SCN1_HETBL,-0.00324253425486911
t38463aep|RS17_BOVIN,0.529913489643804
t38464aep|AB1G_ARATH,0
t38465aep|SGT2_SCHPO,0
t34603aep|RWDD1_RAT,0.293247238787065
t34595aep|NDK_CHICK,0.101654868712315
t34609aep|SAL_SILAS,0
t34599aep|YTX2_XENLA,0.0025190194836566
t34608aep|CATL_SARPE,0.114596108522809
t34605aep|CRFR2_XENLA,0.0206936841302951
t34604aep|RA51D_ARATH,-0.0261155544167622
t34600aep|KPSH1_BOVIN,-0.0111509016104085
t38354aep|TC1A_CAEEL,0.0163791839347943
t38360aep|PIGL_RAT,0.0588284537432934
t38363aep|DNAL4_PIG,-0.0284362784787446
t38358aep|PLK4_NEMVE,0.073792904875001
t38365aep|TMOD2_RAT,0.550246548800209
t38366aep|DDRGK_TRIAD,0.104753109616074
t32782aep|ARGLA_DANRE,-0.0202797227909362
t37025aep|THG1_HUMAN,-0.00228450585357856
t32780aep|TBRG1_XENTR,-0.0140959419122113
t32786aep|SETD4_HUMAN,0.0104288062916737
t32789aep|OAR1_LYMST,0
t32785aep|HEBP1_MOUSE,-0.173312602522936
t36266aep|MRC1_HUMAN,0.0327555441541211
t36257aep|EDIL3_MOUSE,0.0635701955629692
t36261aep|CTU2A_XENLA,0.0894306763010102
t36265aep|TXND_THEPA,0.0597520525467148
t36259aep|KLC4_HUMAN,0
t36270aep|Y1101_SYNY3,0.206939612517162
t36256aep|RTBS_DROME,0.0163791839347943
t37211aep|RYK_MOUSE,-0.0365706954038517
t37210aep|DPOD3_BOVIN,0.219306649720127
t37220aep|HMCN2_HUMAN,0
t37217aep|BAZ1A_HUMAN,0.245524482452793
t37214aep|ITA9_MOUSE,0.370319001383996
t37218aep|EF1G2_ARATH,0
t36465aep|PA1B3_RAT,0.0398933470099255
t36467aep|CEAM5_HUMAN,0.0163791839347943
t36474aep|RT06_BOVIN,0.412587808198908
t36462aep|PAPOG_MOUSE,0.0834468261980763
t36469aep|DNLI1_XENLA,0.0970043707939278
t36466aep|TF2H1_HUMAN,0.158109434792399
t38654aep|BBS4_HUMAN,0.025822931331908
t38667aep|CAH5_CAEEL,0
t38666aep|EPHA3_MOUSE,0.0163791839347943
t38653aep|TOR1A_MACFA,-0.0217904046668447
t38657aep|CCD94_MOUSE,0.0321646931854458
t38655aep|RRP44_HUMAN,0.380296551614246
t38658aep|PKHG5_MOUSE,0.0826167861896851
t35895aep|DAPLE_XENLA,0.029438632109211
t35885aep|PPR42_XENLA,0.0461442285952796
t35887aep|LIN1_NYCCO,0
t37029aep|USH2A_HUMAN,0
t35890aep|PKD1_MOUSE,0.049354259779301
t35898aep|NPHP3_XENLA,-0.00701041959188025
t38455aep|PDE11_DROME,-0.0387765030703933
t38456aep|ELMD2_BOVIN,0.186137237219891
t38452aep|POL_MLVCB,0
t38450aep|KCY_DANRE,0.164225895391843
t38457aep|RTEL1_DANRE,-0.0290274166634113
t38458aep|PEBB_HUMAN,0.0200106128020693
t31916aep|ZCRB1_XENLA,-0.0323049950960788
t31921aep|NXF1_COTJA,-0.00943904020207057
t31918aep|RAD9A_MOUSE,0.0193073107805382
t31915aep|F149A_MOUSE,0.019976533336861
t34560aep|AMPN_RAT,0.0114843110948938
t34549aep|PP2C2_CAEEL,0.210090709266365
t34547aep|UBP16_HUMAN,-0.0254196611773414
t34557aep|KDSR_BOVIN,0.145293749901416
t34555aep|TM107_DANRE,-0.000287016279245315
t34548aep|KLC4_HUMAN,0.0163791839347943
t34552aep|NPYR_DROME,0.0982333891859243
t34559aep|XPA_XENLA,0.042178950835503
t35295aep|RM09_RAT,0
t35293aep|ROC1_SPIOL,0
t35297aep|MATN4_HUMAN,0
t35307aep|DTD2_MOUSE,-0.0442494600642637
t35300aep|DJC11_PONAB,0.122762589865581
t35296aep|MORN2_BOVIN,6.61111466198306e-05
t35299aep|APBLC_ARATH,0
t37101aep|OTX2B_XENLA,0.00250581191001289
t37098aep|MUG1_MOUSE,0
t37097aep|THA11_DANRE,0.0163791839347943
t37105aep|SNPC3_BOVIN,0.0311607289496373
t37095aep|AGRG4_HUMAN,-0.00284217997697375
t34987aep|FA47E_HUMAN,-0.00647070362871602
t34990aep|LYST_MOUSE,-0.0255634723788653
t34989aep|MOG1_BOVIN,0.14411903307751
t34997aep|HBAP1_RAT,0.052496464930232
t34991aep|RBM25_MOUSE,0.244904709406369
t34996aep|RET_RAT,-0.0101163050939985
t31900aep|FRIH_TREBE,-0.164997199223768
t31904aep|RPB11_MOUSE,0.0868338808664178
t31908aep|RSLBA_HUMAN,0.0411405513414028
t31912aep|HSP70_HYDVU,-0.131108729189788
t31905aep|DYH2_MOUSE,0
t31909aep|RBM25_MOUSE,0.03934152130898
t31899aep|AT1A_HYDVU,0.00243675219952514
t31910aep|CAH1_RAT,0
t38176aep|APC1_MOUSE,0.0281726517533575
t36373aep|RTXE_DROME,0
t38183aep|APC_RAT,0.0871319096550985
t38182aep|GRM4_MOUSE,0
t38186aep|CRYAB_BOVIN,0.107584190612534
t32713aep|SDA1_RAT,0.213357201625685
t32714aep|TENS1_HUMAN,0.173207212151855
t32725aep|TIM10_CAEBR,-0.00303002937000421
t32715aep|KCMA1_BOVIN,0
t32719aep|T2FA_XENLA,0.114763324320825
t32717aep|STX12_MOUSE,0.0376173354061276
t32709aep|MCFD2_PONAB,-0.0350468409575311
t35366aep|XRN1_HUMAN,0.0191519625135491
t35363aep|TMX2B_DANRE,0.120131440301921
t35365aep|SGCD_HUMAN,0.00195507568507438
t35368aep|DCP2_MOUSE,0.0561702861572793
t35373aep|RS14_MARMM,0.0995837861538246
t35372aep|ELYS_XENLA,0.0204488132033056
t34194aep|THNS2_MOUSE,0.125345436539568
t34195aep|SAM9L_HUMAN,0.00925497570911816
t34190aep|CRFR2_MOUSE,0.0654999224651332
t34183aep|TLN1_HUMAN,-0.00300054404059069
t34191aep|SRSF7_BOVIN,0.175707673790501
t34181aep|HARB1_DANRE,0
t34192aep|FORF_DICDI,-0.0381784006136209
t36376aep|RTBS_DROME,0
t34186aep|BRPF1_HUMAN,0.0223103930540529
t32768aep|KLC4_MOUSE,0.0491291130079949
t32769aep|KLC4_HUMAN,0
t32772aep|P4R3A_MOUSE,-0.10488031397234
t32762aep|RAD50_MOUSE,0.0165365430343475
t32757aep|INO80_MOUSE,0.00382661651349388
t32760aep|BRM_DROME,0.0601433447411354
t32773aep|TRI50_MOUSE,0.108528603963957
t32766aep|SC5AC_MOUSE,0
t32775aep|CELR2_HUMAN,-0.0473614471310878
t32779aep|SNR48_HUMAN,0.153504189471052
t33155aep|CBPD_LOPSP,0.0327555441541211
t33147aep|MFSD8_DANRE,0.588108399287425
t33154aep|OXR1_MOUSE,0.11203459693052
t33152aep|ANKY1_HUMAN,0
t34085aep|AL221_ARATH,0
t33151aep|LAT3_MOUSE,0.0163791839347943
t33149aep|TOLL6_DROME,0.0295238411865908
t32180aep|MYLK_SHEEP,0.85357233638083
t32175aep|ATK4_ARATH,0
t32160aep|MYD88_HUMAN,0.00655743303576665
t32176aep|AGRB2_MOUSE,0
t32167aep|HAUS4_HUMAN,0.0598554974971831
t32162aep|STAB2_HUMAN,0
t32166aep|GBB5_PONAB,-0.092334845282538
t36935aep|KCNC1_HUMAN,0
t36927aep|PLXA3_RAT,0.0944924032513979
t36922aep|KLC4_HUMAN,0
t36932aep|IQCD_BOVIN,0
t36933aep|ATG2B_HUMAN,-0.0575963735285963
t36930aep|RTJK_DROME,0
t36934aep|KAPCB_HUMAN,0
t36928aep|CACB2_RABIT,0.0883731697553428
t36920aep|SWI5_HUMAN,-0.0409702446344629
t36923aep|ZGRF1_MOUSE,0.0283383541231494
t35832aep|SPTN1_HUMAN,-0.196303905248388
t35835aep|IFT22_XENTR,-0.0561049065202242
t35827aep|RTBS_DROME,0.0163791839347943
t35829aep|PLPL9_HUMAN,0.0499766498253636
t35007aep|NPFF2_HUMAN,0
t35009aep|SPB10_BOVIN,-0.0384483604318222
t35000aep|S23IP_MOUSE,0.0353285794452363
t35017aep|HSF_XENLA,0.0646602389954144
t35008aep|OPN4_PHOSU,0
t35013aep|HERC1_HUMAN,-0.0379339258663912
t35014aep|HERC1_HUMAN,-0.0202372911101283
t35011aep|HEMK1_HUMAN,-0.0227471735446845
t35005aep|CHRD_XENLA,-0.0271527258596713
t34999aep|SRBP1_PIG,-0.1789677669111
t35003aep|CTNS_HUMAN,0.0224401218905195
t35006aep|CER1_HUMAN,0.241399963458253
t32094aep|TCB2_CAEBR,0
t32106aep|TLN2_HUMAN,0.625131638783471
t32100aep|PRRT1_MOUSE,-0.0092210544980669
t32108aep|FITM2_XENTR,-0.045208959447898
t32103aep|CUL1_ARATH,0
t32102aep|KRI1_MOUSE,0.000378620437065649
t32104aep|ASIC1_MOUSE,0
t32112aep|HACE1_HUMAN,0.0340884010377793
t32111aep|TAF9B_RAT,0.0164446254566545
t32101aep|NEK4_HUMAN,0.00506215365262077
t32099aep|DDX46_MOUSE,-0.0497191939757829
t32107aep|PPIL4_HUMAN,0.257502847116643
t32321aep|DYH7_HUMAN,-0.0201134010470964
t32312aep|DJB12_MOUSE,0
t32316aep|IPP_HUMAN,0.00219094317032352
t32313aep|USP9X_HUMAN,0.0698169936582276
t32319aep|AAPK2_HUMAN,-0.0311193032670018
t32315aep|IN80B_HUMAN,0.171786748376206
t32323aep|SYMC_XENLA,0.200744219441406
t36032aep|ABCA1_HUMAN,0.039369810980715
t36031aep|ANPRA_MOUSE,0.0197702085778476
t36039aep|GRM3_HUMAN,0
t36035aep|TCEA2_HUMAN,0.148086331118709
t36962aep|RTBS_DROME,0
t34090aep|MYLK_RABIT,0
t35694aep|NLTP_MOUSE,-0.0679518266866184
t35695aep|HMCN1_HUMAN,0
t35700aep|TWHH_DANRE,0
t35701aep|HOME2_HUMAN,0.00947809131891647
t35698aep|VPS36_XENLA,0.0867972085387148
t35690aep|HMGX4_HUMAN,0.212638084260603
t32144aep|CHST3_CHICK,0
t32136aep|ZDH11_MOUSE,-0.0628280581838548
t33384aep|GPR1_MACMU,0
t32148aep|DPOA2_HUMAN,0
t32140aep|RAD2B_ARATH,0.0104015454119519
t32147aep|DDX10_HUMAN,0.0614583258311188
t32151aep|HE_PARLI,-0.0132551760670729
t32143aep|RN212_MOUSE,0.0327555441541211
t37190aep|DUR1_LACKL,0
t37191aep|DUR1_LACKL,0
t37177aep|MDC1_RAT,0.0095180588475014
t37182aep|HMCN1_HUMAN,0
t37192aep|FBXW2_MOUSE,0.000476050273484413
t37187aep|CDK7_HUMAN,0.0594736936959443
t37178aep|MSH3_MOUSE,0
t37176aep|ABCA2_DICDI,0
t38445aep|ATRX_PONPY,-0.0313932482794543
t38447aep|SAX_LITCT,0.0183912153104694
t38446aep|RNF10_XENLA,-0.0130273019812852
t38442aep|SMC1A_HUMAN,0.127719289594474
t38440aep|AGGF1_MOUSE,0.113273019525425
t38435aep|DHX9_XENLA,0.202089906271495
t36572aep|NLR1A_MOUSE,0.0651299263774323
t36565aep|TF29_SCHPO,0
t36566aep|YRD6_CAEEL,0
t36568aep|POL_SIVEK,0.0163791839347943
t33385aep|CDD_DICDI,0
t36571aep|FL2D_DANRE,0.141429621927447
t36569aep|BCD1_PONAB,0.0661706861677363
t36564aep|D19L3_HUMAN,-0.0808167659412673
t36557aep|DHSO_BOVIN,0.430897125737605
t36738aep|ZSCA2_MOUSE,-0.0304255805985348
t36736aep|ARP8_SALSA,0.0458422131735368
t36745aep|DYLT1_RAT,0
t36749aep|NEMP1_XENTR,0.0248116711313955
t36744aep|ZER1_HUMAN,-0.0193285730264607
t36735aep|S30BP_HUMAN,0.260682434666444
t36741aep|DYHC1_MOUSE,-0.249651043776438
t38618aep|MOS1T_DROMA,0
