t37464aep|PK1L2_MOUSE,0.00660108728593556
t37460aep|TBCEL_RAT,0.0572253716982697
t37459aep|RTBS_DROME,0.0277102607810287
t36591aep|ZMYM1_HUMAN,0.0750213540739845
t36606aep|TBD_CANLF,0.00197099691092311
t36612aep|ERIC3_HUMAN,0.490320522669888
t34698aep|TSSK3_HUMAN,0.040359956685069
t34691aep|PLCL2_MOUSE,0.284950755810805
t32286aep|RIMS2_RAT,0.0177159795884111
t32283aep|PPBT_CHICK,0.565088565572698
t32909aep|F228B_MOUSE,0.0494664972657688
t32902aep|AFAD_HUMAN,0.163529985220548
t32906aep|SNP47_RAT,0.0251723634465252
t32901aep|APBP2_RAT,0.0482864285361809
t32931aep|OCTL_DROME,0.0269450285465991
t32903aep|RTJK_DROME,0.0277102607810287
t32343aep|GRT1A_DANRE,0.330987610359229
t32350aep|DCA15_BOVIN,0.015986892982535
t32898aep|CAC1B_RAT,0.0130748364531613
t32875aep|RPAP3_MOUSE,0.0365924296787101
t32895aep|RMR2_ORYSJ,0.00612899519158547
t32872aep|AMPN_RABIT,0.00198955500027653
t32887aep|TOPB1_HUMAN,0.0130748364531613
t32888aep|ANR31_HUMAN,0.0160418150322347
t32894aep|MYO1A_MOUSE,0.0789212701670121
t32896aep|LOX5_RAT,0.965182248063867
t37679aep|DCC_MOUSE,0.0125953498763056
t37695aep|ANPRA_MOUSE,0.0164548599336863
t33231aep|CLPX_MOUSE,0.0209437875764274
t33224aep|CD047_MOUSE,0.333462700853276
t33223aep|ZMYM1_HUMAN,0.0277102607810287
t33205aep|KCNQ1_SQUAC,0.00265599333642048
t33853aep|RN220_HUMAN,0.0108495019129165
t33856aep|PARD3_HUMAN,0.055099205112797
t35771aep|RASEF_MOUSE,0.293691907616181
t37402aep|NAC1_CAVPO,0.0214219232107244
t37409aep|ATS9_HUMAN,0.0277102607810287
t37422aep|ADA12_MOUSE,0.774476886702988
t37418aep|CHSS2_HUMAN,0.0853441921119932
t37401aep|FNIP1_CHICK,0.143595588436532
t37414aep|KCNB1_PIG,0.0277102607810287
t37420aep|TTLL6_DANRE,1.00434231804029
t32212aep|PIGB_BOVIN,0.0118071271197189
t32191aep|TC1A_CAEEL,0.0277102607810287
t32192aep|MALT1_HUMAN,0.0835065242361058
