t38354aep|TC1A_CAEEL,0.00898305494775122
t38363aep|DNAL4_PIG,0.279851180059388
t38358aep|PLK4_NEMVE,0.0462793643920857
t38365aep|TMOD2_RAT,1.25275802828691
t37025aep|THG1_HUMAN,0.0192901421643875
t32785aep|HEBP1_MOUSE,3.52898660303053
t36261aep|CTU2A_XENLA,0.0167422924479456
t36256aep|RTBS_DROME,0.0179556643073071
t37211aep|RYK_MOUSE,0.00745827757364964
t37220aep|HMCN2_HUMAN,0.124839478101962
t37214aep|ITA9_MOUSE,0.152825076739325
t36474aep|RT06_BOVIN,0.0280626998285288
t36469aep|DNLI1_XENLA,0.12473978031148
t38654aep|BBS4_HUMAN,0.0244327427721364
t38653aep|TOR1A_MACFA,1.75282166850014
t38658aep|PKHG5_MOUSE,0.504647852169261
t35895aep|DAPLE_XENLA,0.202325967760964
t35898aep|NPHP3_XENLA,0.283654240058329
t38456aep|ELMD2_BOVIN,0.0904162578886629
t38452aep|POL_MLVCB,0.0179556643073071
t38458aep|PEBB_HUMAN,0.332469494466057
t31921aep|NXF1_COTJA,0.0533476315168889
t34557aep|KDSR_BOVIN,0.0281593211215133
t34555aep|TM107_DANRE,0.0210511640953905
t34559aep|XPA_XENLA,0.00785492536673546
t35307aep|DTD2_MOUSE,0.0646188745042352
t35296aep|MORN2_BOVIN,0.00164259151913257
t37098aep|MUG1_MOUSE,0.0448115832700619
t37095aep|AGRG4_HUMAN,0.329889774894629
t34987aep|FA47E_HUMAN,0.0754016496924357
t34990aep|LYST_MOUSE,0.148012978835618
t34989aep|MOG1_BOVIN,0.0113495285603249
t31900aep|FRIH_TREBE,4.82200004579893
t31908aep|RSLBA_HUMAN,0.0767639990460206
t31912aep|HSP70_HYDVU,0.558252990398334
t31899aep|AT1A_HYDVU,0.00666539328255649
t38176aep|APC1_MOUSE,0.0083074000308045
t36373aep|RTXE_DROME,0.00898305494775122
t38183aep|APC_RAT,0.0659683449712147
t38186aep|CRYAB_BOVIN,0.706152588407265
t32714aep|TENS1_HUMAN,0.451624919869521
t32719aep|T2FA_XENLA,0.0663302112689212
t32717aep|STX12_MOUSE,0.03134509076609
t35363aep|TMX2B_DANRE,0.0803128064774082
t35365aep|SGCD_HUMAN,1.00597692940918
t35368aep|DCP2_MOUSE,0.0443605295406737
t35372aep|ELYS_XENLA,0.0173176630068676
t34195aep|SAM9L_HUMAN,0.00908262625477723
t34192aep|FORF_DICDI,0.837649986605218
t34186aep|BRPF1_HUMAN,0.0336236245985883
t32769aep|KLC4_HUMAN,0.00898305494775122
t32772aep|P4R3A_MOUSE,0.00446529608426351
t32762aep|RAD50_MOUSE,0.0602088865096066
t32757aep|INO80_MOUSE,0.0171277977057843
t32773aep|TRI50_MOUSE,0.00349646014203239
t32766aep|SC5AC_MOUSE,0.0626646904062656
t32775aep|CELR2_HUMAN,0.373160054465238
t32779aep|SNR48_HUMAN,0.06672527452673
t33154aep|OXR1_MOUSE,0.0610883462797388
t32180aep|MYLK_SHEEP,0.000564887125302692
t32160aep|MYD88_HUMAN,0.0968681663468328
t32167aep|HAUS4_HUMAN,0.0189142600581349
t32162aep|STAB2_HUMAN,0.00898305494775122
t32166aep|GBB5_PONAB,0.252629884818868
t36935aep|KCNC1_HUMAN,0.0321557032710096
t36927aep|PLXA3_RAT,0.164261407070302
