t31533aep|FRS5_ARATH,0.0257207057807523
t34360aep|PH4H_RAT,0.053427040610531
t34425aep|ZMYM1_HUMAN,0.0609684027090062
t34366aep|PLCL_MYTGA,0.0556358233092332
t34424aep|TRY3_SALSA,0.635033957709407
t34419aep|CHD1L_DANRE,0.812379974055231
t34415aep|CC157_BOVIN,0.0162659829626749
t32521aep|POGK_MOUSE,0.0510765551060313
t32570aep|SYT11_HUMAN,0.0177527315630012
t32528aep|RTJK_DROME,0.0257207057807523
t32535aep|ZBED4_MOUSE,0.0257207057807523
t32571aep|RTBS_DROME,0.0308073852069377
t38304aep|S22A4_HUMAN,0.247373355977067
t38295aep|Y1931_DICDI,0.0257207057807523
t38315aep|CP131_DANRE,0.0053095626266375
t38280aep|GRDP2_ARATH,0.0257207057807523
t38257aep|RAG1_XENLA,0.280136799855014
t38310aep|FGFR3_DANRE,0.0133763649184493
t38293aep|NALDL_RAT,0.107753689764681
t32047aep|RTJK_DROME,0.227524252251233
t32035aep|GRM8_HUMAN,0.0127409954292627
t32002aep|HMCN1_HUMAN,2.72775937434474
t32011aep|SAL_SILAS,0.0760789467020566
t35488aep|AGO2_HUMAN,0.534746523230384
t35510aep|DOCK6_HUMAN,0.0532526829070951
t35461aep|THAP9_HUMAN,0.088163442024866
t37568aep|DLEC1_HUMAN,0.027549992625706
t37534aep|PGBD2_HUMAN,0.0360967651139356
t33011aep|PELET_DROME,0.00139605542386496
t32976aep|ZMYM1_HUMAN,0.00197929276092764
t32997aep|HMCN1_HUMAN,0.0144113025987265
t35627aep|AL14E_BOVIN,0.0755085141654011
t35590aep|RTBS_DROME,0.123410431889697
t35608aep|DDX60_HUMAN,0.916184693360766
t31763aep|RN103_MOUSE,0.0054515358816588
t35587aep|ZBED1_HUMAN,0.0650236230915249
t34201aep|RTJK_DROME,0.78831391708662
t34209aep|TCB2_CAEBR,0.022690676410748
t34267aep|H2B3_TIGCA,0.00722196135056445
t34240aep|ZMYM1_HUMAN,0.0257207057807523
t34257aep|P52K_HUMAN,0.0257207057807523
t37916aep|DEAH5_ARATH,0.0798207360102678
t37859aep|YTX2_XENLA,0.0945455672505174
t37924aep|PELET_DROME,0.0596997627672622
t37855aep|THAP9_HUMAN,0.0283577588369862
t37329aep|GIN1_PONAB,0.0760789467020566
t31773aep|OST4_RAT,0.044994572627695
t31767aep|FKBP9_RAT,1.09174030979711
t34039aep|BAI1_MOUSE,0.0257207057807523
t31596aep|HSP13_HUMAN,0.240530118213431
t36835aep|ADPRM_HUMAN,0.0156744102791319
t36831aep|S38AB_RAT,0.149071689812577
t32454aep|KCNG4_HUMAN,0.0257207057807523
t34122aep|MAD1_MOUSE,1.33000033837072
t36430aep|TM175_MOUSE,0.0257207057807523
t35746aep|ASPM_PONPY,0.0257207057807523
t34074aep|VA5_POLDO,0.315858102176586
t34064aep|RS27L_BOVIN,0.00634097780536726
t34824aep|PCR3_ARATH,0.121014493912358
t33335aep|PIGP_MOUSE,0.0722691922941246
t38216aep|RTXE_DROME,0.0257207057807523
t32680aep|RL29_MACFA,0.0171122288614748
t31471aep|APOB_RAT,0.012211270907348
t36854aep|CMTR2_DANRE,0.00754652810989362
t34613aep|ANO6_MOUSE,0.149071689812577
t38527aep|ANK1_HUMAN,0.161979836791456
t38084aep|HRD1A_ARATH,0.0257207057807523
t38088aep|ROBO3_HUMAN,0.00406610690637964
t35525aep|RS28_ICTPU,0.0556358233092332
t36450aep|DYH2_HUMAN,0.0257207057807523
t35265aep|PDE11_DROME,0.0257207057807523
t36253aep|KCNA7_HUMAN,0.0257207057807523
t34282aep|CFA47_HUMAN,0.0257207057807523
t36508aep|RL3_METEP,0.0760789467020566
t31365aep|ASPH2_XENTR,0.0115260847781159
t32130aep|NPC2_DROME,0.270647919094424
t36024aep|FKRP_MOUSE,0.139147083277375
t36201aep|B4GN4_HUMAN,0.0720641983512632
t35977aep|CS052_HUMAN,0.0312522247110431
t38191aep|ENPP4_XENLA,0.115009173406221
t38546aep|PELET_DROME,0.0196328119239714
t36445aep|TDIF2_MOUSE,0.114575758604936
t38234aep|AKT2B_XENLA,0.0257207057807523
t38515aep|KCNC1_MOUSE,0.0257207057807523
t31672aep|BET1_MOUSE,0.00177482157994392
t33726aep|RTJK_DROME,0.0510765551060313
t34733aep|MCPI_MELCP,0.124409206574485
t33670aep|NADA_APLKU,0.000422791914368906
t33829aep|MLP_ACRMI,0.0510765551060313
t36068aep|PLD6_CHLRE,0.00965642463879687
t33564aep|LIAS_BRAFL,0.0509074308234961
t38051aep|RAB6A_CHICK,0.0286271829655494
t32958aep|ANO7_HUMAN,0.205376280632952
t32956aep|K1586_HUMAN,0.0257207057807523
t32954aep|NPL11_CAEEL,0.0257207057807523
t37512aep|FXRD2_HUMAN,0.12948821580818
t37655aep|S12A4_RAT,0.0257207057807523
t37234aep|G3ST1_BOVIN,0.29973621199229
t36308aep|NDRG3_RAT,0.00515663909319658
t36310aep|CPI1_PIG,0.0527798777189369
t38376aep|FLOWR_DROVI,0.316000356635042
t38381aep|SSRB_CANLF,0.445371512929225
t32647aep|DD3_DICDI,0.0175818747371495
t33926aep|TEAD1_HUMAN,0.507531206875878
t33303aep|NAS15_CAEEL,0.0760789467020566
t32362aep|ANO7_RAT,0.0257207057807523
t26076aep|JAZF1_MOUSE,1.22464759939909
t5701aep|AXIN1_HUMAN,0.0268996489065176
t1171aep|TOB1_HUMAN,0.554664338743105
t1172aep|STX17_HUMAN,0.108473234093314
t10137aep|PIGN_HUMAN,0.0192338913321035
t26984aep|NU301_DROME,0.0050802056415628
t10139aep|BAX_HUMAN,0.13303392148015
t10143aep|OSA_DROME,0.0233219312877093
t28851aep|TAPT1_MOUSE,0.0325778106758435
t18735aep|FOXA2_ORYLA,0.0113870748114927
t14512aep|TATD2_HUMAN,0.0106101617877019
t28510aep|CEP83_MOUSE,0.00218428957778296
t14522aep|SORT_RAT,0.250678557784622
t4094aep|COQ7_MOUSE,0.0512997275169664
t25273aep|PQLC1_BOVIN,0.0063430068256555
t1842aep|AP5Z1_HUMAN,0.0219239124767389
t1826aep|TRI33_XENLA,0.00830906319750822
t30494aep|NANO1_DANRE,0.0326242656527272
t30495aep|GSLG1_CHICK,0.19423718558615
t30502aep|UNC89_CAEEL,0.0249643512081054
t26441aep|CCR3_RAT,0.0257207057807523
t26438aep|IAAA_ECOLI,0.0095997290465742
t26440aep|RBP1_HUMAN,0.00235845275404722
t26434aep|NFH_MOUSE,0.0442944437075454
t4228aep|TENA_HUMAN,0.0257207057807523
t4216aep|UFSP2_MOUSE,0.052144634694168
t25309aep|HSFY1_HUMAN,0.0125552136233669
t28473aep|GAPR1_HUMAN,0.687608113923938
t14416aep|CCZ1_NEMVE,0.0475304031878996
t12908aep|DESI1_RAT,0.0487281287736729
t14434aep|ZN267_HUMAN,0.057529395041945
t27792aep|MLP_ACRMI,0.0174438112023655
t13227aep|FOXK1_MOUSE,0.0664766465438577
t26387aep|GLAS_DROVI,0.0257207057807523
t26397aep|FBN1_MOUSE,0.00100905644451428
t7538aep|KHK_RAT,0.00134506721918186
t26394aep|TMED7_HUMAN,0.863204939991336
t29730aep|CHSTB_RAT,0.00675162557998604
t19697aep|RERE_HUMAN,0.364711275293556
t29717aep|RWA1_ARATH,1.47765662211397
t19690aep|DPP9_MOUSE,0.0299311245118509
t19677aep|MEP1B_HUMAN,0.0257207057807523
t24866aep|HMCN2_HUMAN,0.0187102861888721
t24854aep|PRY1_YEAST,0.438286630697842
t24859aep|IMPA_PSEAE,0.0257207057807523
t24865aep|AGRB3_MOUSE,0.816681865696614
t26163aep|GGH_MOUSE,0.0219187391471081
t6896aep|TF2H4_MOUSE,0.0155667732186051
t25706aep|PRFA_POLPE,0.0551609274180794
t21309aep|GOGA7_MOUSE,0.0138570079936561
t7309aep|STX6_PONAB,0.091727036021273
t7296aep|CO1A2_LITCT,0.023594904808805
t7287aep|ING3_MOUSE,0.0601988221219123
t4520aep|SRPRA_DROME,0.270418691960927
t4557aep|CBPB_ASTAS,0.325264911347025
t4564aep|XBP1_MOUSE,0.536809176474891
t4539aep|CEL2A_PIG,0.0310949393463942
t13964aep|SC16A_HUMAN,0.435630889372464
t28181aep|LMOD3_DANRE,0.0229567481687394
