t34506aep|C163A_CANLF,0.0130711579049142
t34530aep|ZN862_HUMAN,0.0130711579049142
t37137aep|TET2_HUMAN,0.0112806085792353
t37156aep|CHIA_MOUSE,3.26552487344115
t37143aep|SETMR_HUMAN,0.0130711579049142
t37162aep|LTBP4_HUMAN,0.0130711579049142
t36775aep|ANKE1_HUMAN,0.0456819766538897
t36799aep|ZMYM1_HUMAN,0.0130711579049142
t31783aep|DMBT1_RABIT,0.994681298467798
t31810aep|TF28_SCHPO,0.0130711579049142
t31804aep|P53_TETMU,0.0130711579049142
t36091aep|F166B_XENTR,0.156945814611108
t36104aep|SDK1_HUMAN,0.00520955963352309
t31319aep|RTXE_DROME,0.0130711579049142
t31348aep|ZBED4_MOUSE,0.0130711579049142
t31346aep|MGT4A_RAT,0.07803136248148
t37247aep|NAS13_CAEEL,4.80826556432485
t37293aep|K1586_HUMAN,0.0130711579049142
t37309aep|WHRN_HUMAN,0.147420590420912
t37250aep|SMG8_CULQU,0.0245985562113441
t37256aep|PTPRS_RAT,0.0130711579049142
t37257aep|PTPRS_MOUSE,0.0130711579049142
t31485aep|TOR1A_MACFA,0.263990603035469
t31525aep|HOBOT_DROME,0.0122805955636704
t31534aep|RTXE_DROME,0.0391334844677674
t31502aep|FGFR3_CHICK,0.0391334844677674
t34421aep|GTD2A_HUMAN,0.0130711579049142
t34387aep|YDJC_MOUSE,0.00967122977290374
t34400aep|MJK2_METJA,0.0130711579049142
t34425aep|ZMYM1_HUMAN,0.0370146947862951
t34424aep|TRY3_SALSA,4.53155769811646
t34415aep|CC157_BOVIN,0.00527814020062803
t32529aep|LOXH1_MOUSE,0.427864257831805
t32573aep|RTBS_DROME,0.0130711579049142
t32555aep|PROP_HUMAN,0.0130711579049142
t38292aep|BVMO2_STRCO,0.389039119382625
t38316aep|AB22G_ARATH,0.00277656236367788
t38284aep|WDR66_HUMAN,0.0386699340464737
t38280aep|GRDP2_ARATH,0.0130711579049142
t38310aep|FGFR3_DANRE,0.000726817042611271
t38311aep|RET_HUMAN,0.0130711579049142
t32047aep|RTJK_DROME,0.0113923633265609
t32035aep|GRM8_HUMAN,9.14475534245696e-05
t32032aep|SOX7_XENTR,0.0130711579049142
t31997aep|ZNFX1_MOUSE,0.150803567464913
t32023aep|RTJK_DROME,0.0144803633968649
t32012aep|TTC3_HUMAN,0.0249659821641113
t35488aep|AGO2_HUMAN,0.420368627256455
t35456aep|PK1L2_MOUSE,0.0130711579049142
t35477aep|RTJK_DROME,0.0170927139393078
t35484aep|F200A_HUMAN,0.0130711579049142
t35489aep|JERKL_HUMAN,0.0130711579049142
t35503aep|DSCL1_CHICK,0.0333351953554124
t37568aep|DLEC1_HUMAN,0.00093926293593178
t37577aep|RTJK_DROME,0.0185100329694786
t33011aep|PELET_DROME,0.0278005884224581
t32976aep|ZMYM1_HUMAN,0.0283838257595208
t33020aep|TSP3_MOUSE,0.171260776431013
t33008aep|THAP2_MOUSE,0.0130711579049142
t32997aep|HMCN1_HUMAN,0.00176175472288872
t33004aep|CNTP2_HUMAN,0.000966538715703711
t35592aep|SE1L2_HUMAN,0.019521931415818
t35590aep|RTBS_DROME,0.0346773873485796
t35587aep|ZBED1_HUMAN,0.0034183522650474
t35573aep|SHL2_ORYSJ,0.0171550369313682
t34201aep|RTJK_DROME,0.0112552935418325
t34209aep|TCB2_CAEBR,0.01004112853491
t34219aep|POL5_DROME,0.00600671587957778
t34261aep|AGRL3_BOVIN,0.012215579592339
t37916aep|DEAH5_ARATH,0.0182154651837899
t37857aep|GIN1_HUMAN,0.0298234061727775
t37902aep|TRAF4_HUMAN,0.0974421152904738
t32083aep|OPN4_BRABE,0.0453801542046307
t32087aep|RPC9_BOVIN,0.00418087904692872
t31596aep|HSP13_HUMAN,0.0223427455554037
t31589aep|COCH_CHICK,0.0261155544167622
t37598aep|GRM3_MOUSE,0.0650911039400097
t37472aep|PDE12_MOUSE,0.026769103891421
t37469aep|YDJC_XENLA,0.0261155544167622
t36826aep|LYAG_RAT,0.0521252387793455
t34847aep|Y165_RICPR,0.167919101258999
t32451aep|LHX9_HUMAN,0.0130711579049142
t34840aep|DYH5_HUMAN,0.0130711579049142
t35927aep|KCRB_BOVIN,0.0130711579049142
t33745aep|MORN1_HUMAN,0.0130711579049142
t34588aep|Y9963_DICDI,0.0130711579049142
t34121aep|YETS2_MOUSE,0.000275287184253282
t34069aep|ERIP6_HUMAN,0.0410136105732422
t34075aep|HYDIN_MOUSE,0.0733894116783474
t34064aep|RS27L_BOVIN,0.0067358264413769
t35628aep|CENPS_XENLA,0.00217296500370107
t36547aep|NMDZ1_MOUSE,0.0130711579049142
t38607aep|TU92_POLAB,0.0130711579049142
t33242aep|FAT2_DROME,0.0130711579049142
t35228aep|RTBS_DROME,0.0130711579049142
t34616aep|PIF1_XENLA,0.00385010340684744
t36854aep|CMTR2_DANRE,0.00608353887969046
t38088aep|ROBO3_HUMAN,0.00446095554238936
t35167aep|PTPRQ_RAT,0.0130711579049142
t36821aep|SELM_HUMAN,0.0130711579049142
t38395aep|ATM_HUMAN,0.00952167803162499
t37432aep|KLC4_HUMAN,0.0130711579049142
t35712aep|TCB2_CAEBR,0.0130711579049142
t33788aep|MCAF1_HUMAN,0.0130711579049142
t38351aep|DYH2_HUMAN,0.0130711579049142
t37108aep|DNAS1_HUMAN,0.0261155544167622
t37043aep|SSPO_CHICK,0.0130711579049142
t31640aep|GP2_CANLF,0.0130711579049142
t34838aep|DYH7_HUMAN,0.0130711579049142
t33913aep|PK1L2_HUMAN,0.0130711579049142
t38546aep|PELET_DROME,0.0330455906109865
t36442aep|CFA54_HUMAN,0.0130711579049142
t35933aep|GRM1_HUMAN,0.0261155544167622
t37972aep|SPX3_MOUSE,0.0130711579049142
t36301aep|MCPI_MELCP,0.0513713584427937
t34725aep|HS902_HUMAN,0.0196187014398628
t34733aep|MCPI_MELCP,0.908450277779238
t34781aep|SET1_YEAST,0.0833140243706358
t33670aep|NADA_APLKU,0.0735617173015043
t34941aep|C5AR1_HUMAN,0.0261155544167622
t33567aep|RSLBB_DANRE,0.137356283557081
t34663aep|DYH10_HUMAN,0.0130711579049142
t33875aep|NALP9_BOVIN,0.00559432628836023
t34888aep|LITAF_DANRE,0.00105558815715685
t36478aep|KLC4_RAT,0.0130711579049142
t35341aep|GALT2_DROME,0.0725004696689039
t34870aep|RDHE2_HUMAN,0.0421079737279325
t32653aep|DRAM2_MOUSE,0.0261155544167622
t32650aep|RL17_PODCA,0.022675539923391
t31898aep|CP4V2_MOUSE,0.0130711579049142
t32384aep|Y2R2_DROME,0.0130711579049142
t36152aep|ZN862_HUMAN,0.0130711579049142
t5711aep|TLL2_HUMAN,0.00600387186765999
t29957aep|UBP7_MOUSE,0.0130711579049142
t1173aep|LRRK2_HUMAN,0.0130711579049142
t1171aep|TOB1_HUMAN,0.0133207592563986
t28618aep|LEXM_RAT,0.0407055674242799
t26980aep|MEC2_CAEEL,0.0130711579049142
t28847aep|CC191_HUMAN,0.0134806281009922
t28848aep|KAD5_BOVIN,0.234495506540079
t25932aep|SPX3_BOVIN,0.0325129736568917
t18735aep|FOXA2_ORYLA,0.253963673139103
t14505aep|GAS2_MOUSE,0.0104070737449164
t28516aep|IQUB_RAT,0.0125299572771286
t28513aep|LAR_CAEEL,0.320895466551542
t25924aep|GAPD1_XENLA,0.0323999134675873
t30494aep|NANO1_DANRE,0.0125941777814918
t30490aep|RGS13_HUMAN,0.279458150700599
t26441aep|CCR3_RAT,0.0130711579049142
t26434aep|NFH_MOUSE,0.0193334430182761
t12898aep|NPHP3_XENLA,0.0130711579049142
t14424aep|IMP2L_DANRE,0.00844512971846662
t28479aep|DCD1B_DICDI,0.0130711579049142
t27873aep|TRPA1_CAEEL,0.0130711579049142
t26395aep|DYHC_TRIGR,0.0392004996414575
t26394aep|TMED7_HUMAN,0.573017256190321
t27780aep|CIP1_HUMAN,0.0130711579049142
t29720aep|AD26A_MOUSE,0.00632607333019936
t19677aep|MEP1B_HUMAN,1.85203739569788
t24866aep|HMCN2_HUMAN,0.0060607383130342
t24854aep|PRY1_YEAST,0.00625549043621958
t3253aep|TSSK3_MOUSE,0.0130711579049142
t24865aep|AGRB3_MOUSE,0.00443285264897512
t26170aep|POSTN_MOUSE,0.0130711579049142
t26158aep|VMO1_HUMAN,0.355828920412255
t25717aep|PRDX4_BOVIN,0.213322478972372
t25706aep|PRFA_POLPE,0.0182154651837899
t5084aep|WDR43_HUMAN,0.0325965356893578
t26278aep|TREF1_HUMAN,0.0556406129586026
t26285aep|SC5A8_MOUSE,0.010166700239469
t4520aep|SRPRA_DROME,0.24291387986251
t4539aep|CEL2A_PIG,0.0201070965843472
t13964aep|SC16A_HUMAN,0.206858789466489
t13955aep|KCNB2_RABIT,0.0130711579049142
t28568aep|B3GN4_HUMAN,0.00976267397829689
t1197aep|SP17_RABIT,0.157933936378736
t24164aep|AGLU_SPIOL,0.0130711579049142
t18829aep|HPCL1_SHEEP,0.0038804016484026
t1198aep|NHLC2_MOUSE,0.040705460471934
t23544aep|PRY1_YEAST,2.65338551589501
t23523aep|CALM_DICDI,0.0130711579049142
t31071aep|KITH_CHICK,0.00620188834870209
t31067aep|DPM3_BOVIN,0.0168471833126111
t23543aep|DIRA1_HUMAN,0.707709183242588
t1902aep|CB5D1_DANRE,0.0351898904866421
t11073aep|RAB24_HUMAN,1.09480648816762
t11081aep|SPAG6_MOUSE,0.0523338994712605
t11090aep|ATRN1_MOUSE,0.0185560875481833
t11061aep|APCD1_CHICK,0.411649664597265
t11055aep|LWA_HYDEC,0.135629642463921
t11063aep|G3ST3_MOUSE,0.0521252387793455
t3656aep|MSS4_YEAST,0.0130711579049142
t3676aep|TES_CHICK,0.398555811406842
t3678aep|SYIC_HUMAN,0.120928905745422
t2aep|NEK7_MOUSE,0.0873619797946311
t1aep|NAS4_CAEEL,1.00320514375083
t33aep|SCLY_BOVIN,0.0446706971592401
t17588aep|LRC23_MOUSE,0.0226315904423101
t17575aep|ENDUB_DANRE,2.32360774999624
t27722aep|MOS1T_DROMA,0.0130711579049142
t17581aep|TC1D2_HUMAN,0.277420455907305
t17571aep|AMT1_CAEEL,0.0170927139393078
t24799aep|MGT5B_HUMAN,0.100818911252709
t12642aep|FOXL1_MOUSE,0.0215999677674297
t24788aep|SYT4_RAT,0.00462682532359977
t12648aep|DUT_HUMAN,0.0395738795703648
t27591aep|CNR1A_TAKRU,0.0467363325768963
t27581aep|AGRG4_MOUSE,0.094113558565213
t27987aep|ADGB_MOUSE,0.0345747802560828
t16618aep|PA2B2_NOTSC,0.00288191725452589
t28913aep|KLC4_HUMAN,0.0130711579049142
t26400aep|CONT_DROME,0.45237618440991
t26401aep|CE112_HUMAN,0.00975245208465132
t26412aep|ODF3A_XENLA,0.171709341185813
t14398aep|ANR52_CHICK,0.0130711579049142
t27739aep|RPGR_MOUSE,0.0256874948507875
t12690aep|GMK2_ARATH,0.0130711579049142
t29702aep|CMTR1_MOUSE,0.00346980623351783
t29696aep|MKKS_MOUSE,0.00185729646548961
t29694aep|RLBP1_HUMAN,0.0208494052999122
t25225aep|APLP_LOCMI,0.00657430492801519
t25231aep|CE290_MOUSE,0.0303710209154701
t24327aep|FKTN_MOUSE,0.0111152978777693
t24328aep|HMCN2_MOUSE,0.15732187471614
t25018aep|NOXA_DICDI,0.0826560771102311
t25004aep|TR1L1_XENLA,0.307853116564283
t25016aep|TPC10_MOUSE,0.0234743747116828
t29421aep|PRY3_YEAST,0.0130711579049142
t18630aep|ENTP7_PONAB,0.00157271756733641
t29426aep|TTC25_DANRE,0.040944757444695
t26613aep|DAB_DROME,0.0438411758127748
t27574aep|PRD14_MOUSE,0.0406204687822618
t26322aep|ZIFL1_ARATH,0.0521252387793455
t24222aep|CCD34_HUMAN,0.167080921622894
t2532aep|DNAL1_BOVIN,0.0833643548930876
t24217aep|CCD63_BOVIN,0.0150688856045814
t25826aep|UGDH_MOUSE,0.0830833208885308
t5462aep|CCKAR_CAVPO,0.0896444211296364
t5464aep|LACE1_MOUSE,0.0211099977680433
t25833aep|CC113_HUMAN,0.0021183419013282
t29939aep|B3GN5_HUMAN,0.0130711579049142
t20372aep|TT30A_XENTR,0.0701597360158343
t29932aep|MRP1_HUMAN,0.0130711579049142
t10991aep|COCA1_HUMAN,0.0412999957733765
t27319aep|PIFO_MOUSE,0.0594639346090192
t24575aep|AB6A_ARATH,0.00354791506291205
t27117aep|TRI23_MOUSE,0.00354791506291205
t31101aep|NAS14_CAEEL,0.00132419489224867
t25458aep|DYH2_MOUSE,0.0435939172320653
t25456aep|PDZD2_RAT,0.0453830142523332
t24570aep|AFF1_MOUSE,0.0516291140731125
t25470aep|TCB2_CAEBR,0.0130711579049142
t30878aep|HENMT_RAT,0.0283020554927682
t30881aep|DAPK2_MOUSE,0.00113007325823749
t30879aep|PGBD3_HUMAN,0.00980248162858751
t27148aep|ADRB2_TSCTR,0.718032535573515
t10418aep|QPCTL_BOVIN,0.00669200503222487
