t35701aep|HOME2_HUMAN,0.044781797339332
t35690aep|HMGX4_HUMAN,0.585661816164979
t32147aep|DDX10_HUMAN,0.419993256506422
t37177aep|MDC1_RAT,0.0611556353527561
t37182aep|HMCN1_HUMAN,0.0224707896082035
t37192aep|FBXW2_MOUSE,0.00656765594689376
t37187aep|CDK7_HUMAN,0.0637566136523279
t37178aep|MSH3_MOUSE,0.0112554008473427
t38445aep|ATRX_PONPY,0.143266432210454
t38446aep|RNF10_XENLA,0.0127309292725863
t38442aep|SMC1A_HUMAN,0.462325033060388
t38440aep|AGGF1_MOUSE,0.190508721817413
t38435aep|DHX9_XENLA,0.86124143248674
t36566aep|YRD6_CAEEL,0.0112554008473427
t36568aep|POL_SIVEK,0.0224707896082035
t36571aep|FL2D_DANRE,0.240430395539889
t36569aep|BCD1_PONAB,0.209023801213123
t36557aep|DHSO_BOVIN,0.821338325582977
t36736aep|ARP8_SALSA,0.235680019905696
t36749aep|NEMP1_XENTR,0.0701177884916361
t36744aep|ZER1_HUMAN,0.0268982668236864
t36735aep|S30BP_HUMAN,0.265622196033797
t36741aep|DYHC1_MOUSE,0.0949856106022588
t38618aep|MOS1T_DROMA,0.0112554008473427
t38616aep|G3ST1_HUMAN,0.171088190920137
t38621aep|MOCS3_AEDAE,0.126810931275895
t38617aep|U2AFM_HUMAN,0.285072456954271
t34473aep|PGBD4_HUMAN,0.0112554008473427
t34465aep|NPHP4_MOUSE,0.0947006247002681
t34481aep|PYM1_BOVIN,0.0521934619658625
t34477aep|HGH1_DROME,0.478607912225227
t34670aep|VKORL_HUMAN,0.155765938062783
t37723aep|INTU_BOVIN,0.0708866394924714
t37717aep|TSAL_GEOSL,0.116722924430454
t32504aep|RPN2_PONAB,0.674170593880821
t32508aep|CLK2_MOUSE,0.322322834774187
t32518aep|PTHD3_MOUSE,0.00346163515757781
t32519aep|PTR36_ARATH,0.0336466167239425
t32496aep|CNR1A_TAKRU,0.370426529790824
t32515aep|ZFY26_BOVIN,0.014140499761111
t32494aep|RBM45_MOUSE,0.125481681354396
t36989aep|GPX5_PIG,0.0215359156423991
t36976aep|WBS22_MOUSE,0.149771557085724
t36974aep|CNFNA_XENLA,0.0112554008473427
t36990aep|TV23B_BOVIN,0.209506715454196
t36996aep|MPIP1_HUMAN,0.123324594844132
t36997aep|CYSP2_LEIPI,0.0112554008473427
t37006aep|SVIL_MOUSE,0.0520530480947025
t35158aep|LITH_RAT,0.00241053872486757
t35160aep|ZN862_HUMAN,0.00544726185301104
t35150aep|FEM1C_MOUSE,0.00309629158458638
t35148aep|MT21D_MOUSE,0.0490912983243416
t35154aep|DJC17_BOVIN,0.177326264386102
t35155aep|PRS8_DROME,0.195786260650892
t37975aep|ZNHI1_HUMAN,0.496245757237877
t37986aep|TIDC1_HUMAN,0.187160476845436
t37987aep|MET17_MOUSE,0.10843311687045
t37978aep|HDGF_RAT,1.0489214401575
t33520aep|DDX17_MOUSE,0.821129270066309
t33498aep|DDX51_DANRE,0.104112062700664
t33519aep|CCD25_DANRE,0.0295890296772706
t33502aep|RET_RAT,0.0215458401129421
t38571aep|VLDLR_HUMAN,0.135771277344422
t38575aep|CC146_RAT,0.0198091178063406
t38572aep|TADA1_RAT,0.0782233604568327
t38574aep|DDX31_MOUSE,0.162347842336039
t31271aep|GAB1_MESAU,0.0455240946924586
t31280aep|ANKL1_HUMAN,1.28923695816182
t31269aep|DALD3_RAT,0.303532247895904
t33777aep|IKBP1_HUMAN,0.0716957643944714
t33775aep|UB2G2_PONAB,0.0360781019276487
t33778aep|LARP1_MOUSE,0.904447557451981
t31935aep|AP4S1_HUMAN,0.024107504814678
t31936aep|PRRT1_MOUSE,0.0224707896082035
t31938aep|UCP4_HUMAN,0.0409482334496193
t31956aep|ARID2_HUMAN,0.225240162899971
t31930aep|GXN_ACRMI,0.0142472873460164
t32745aep|PRRT1_MOUSE,0.024013141337982
t32747aep|ZIC2B_XENLA,0.00475854787044339
t32740aep|KLC4_HUMAN,0.00508611099563685
t33590aep|STS_HUMAN,0.11536189044884
t33591aep|EXOS4_BOVIN,0.273047296514467
t33603aep|XPP1_MOUSE,0.339348901034305
t32376aep|FA96A_HUMAN,0.185971887656871
t32369aep|GAPR1_HUMAN,0.00581302302305001
t38580aep|BCOR_HUMAN,0.0148527636840132
t38579aep|CB069_DANRE,0.153167817976427
t38581aep|HE_HEMPU,0.0230805678281164
t38414aep|ORC4_PONAB,0.0475692838806773
t38503aep|PCBP1_RABIT,0.0112554008473427
t38506aep|ANK2_HUMAN,0.0112554008473427
t38507aep|CHUR_BOVIN,0.0998341319932333
t38497aep|DDC_HUMAN,0.00736024561515311
t38498aep|MARH1_HUMAN,0.00294314311394914
t38499aep|ECM29_HUMAN,0.0735286679204738
t31740aep|PPIL2_MOUSE,0.218751444633712
t31732aep|F10C1_MOUSE,0.0886095184664223
t31729aep|FREM2_MOUSE,0.0290892370058362
t31725aep|TPC13_XENTR,0.0671266895964938
t31734aep|VITRN_MOUSE,0.00914442905416
t31730aep|S2611_HUMAN,0.00372051062275559
t33100aep|RTBS_DROME,0.0112554008473427
t33104aep|SL9A8_HUMAN,0.00381090350539058
t33102aep|FAF2B_XENLA,0.0887195616784832
t33101aep|SAFB1_MOUSE,0.306855473641051
t33119aep|KINH_STRPU,0.100399968411688
t33106aep|NPHP3_HUMAN,0.0414358144881904
t37444aep|TRI37_HUMAN,0.00210857508640455
t37447aep|ANKS3_HUMAN,0.0272417545706129
t37464aep|PK1L2_MOUSE,0.0416870013247196
t36608aep|NCLN_DANRE,0.311781805384946
t36604aep|LANC3_MOUSE,0.0732685203897652
t36593aep|THAP4_BOVIN,0.0112554008473427
t36606aep|TBD_CANLF,0.0479106285691429
t34698aep|TSSK3_HUMAN,0.0316672746010942
t34694aep|PGBD4_HUMAN,0.0112554008473427
t34695aep|SORCN_SCHJA,0.0224707896082035
t34691aep|PLCL2_MOUSE,0.00493653645738363
t34701aep|TM223_HUMAN,0.0749275623399266
t32273aep|CI172_HUMAN,0.0368216135651106
t32295aep|CHD1_MOUSE,0.244098826577924
t32275aep|CAN5_MOUSE,0.0132497351101368
t32290aep|NOL6_MOUSE,0.680096979800643
t32278aep|TRM2A_HUMAN,0.13927804254422
t32280aep|5HTR_LYMST,0.0112554008473427
t32901aep|APBP2_RAT,0.00447328944885679
t32927aep|RTJK_DROME,0.0112554008473427
t32907aep|KALRN_MOUSE,0.358672323372069
t32932aep|HYD_DROME,0.129540625850628
t32334aep|DCTP1_MOUSE,0.041095385726132
t32349aep|CRJ1A_TRICY,0.176638742197024
t32353aep|THOC2_DASNO,0.376486906847024
t32339aep|QRFPR_HUMAN,0.0112554008473427
t32328aep|SPIT3_HUMAN,0.95810161037078
t32332aep|EXSA_BACCE,0.0224707896082035
t32350aep|DCA15_BOVIN,0.0688126902958299
t32897aep|CASP2_CHICK,0.0195712453594008
t32866aep|PDD2L_CHICK,0.146025293392635
t32873aep|TPMT_PSEAB,0.203167167352217
t32875aep|RPAP3_MOUSE,0.0491214909510031
t32895aep|RMR2_ORYSJ,0.000889524018760588
t32896aep|LOX5_RAT,0.0112554008473427
t37687aep|DBP8_BOTFB,0.00667404510058684
t37681aep|NFX1_BOVIN,0.335632434335281
t37690aep|RNF4_HUMAN,0.405880195959977
t37679aep|DCC_MOUSE,0.0101262952628262
t33221aep|MP62_LYTPI,0.909730592333336
t33233aep|RAD1_PONAB,0.0112554008473427
t33217aep|IN80D_XENLA,0.0193753684257417
t33209aep|RBM48_MOUSE,0.0848090622301022
t33218aep|TACC3_XENLA,0.2223441297188
t33225aep|CE350_HUMAN,0.149607359081121
t33213aep|CEP44_XENTR,0.01983789454509
t33223aep|ZMYM1_HUMAN,0.0224707896082035
t33230aep|GKAP1_DANRE,0.34424426836577
t33214aep|EXOS1_HUMAN,0.105084594861871
t33865aep|F172A_CHICK,0.130645548119295
t33864aep|CNTP5_CANLF,0.0342246265127826
t33853aep|RN220_HUMAN,0.210287746199808
t33859aep|KCNH2_CHICK,0.0112554008473427
t33868aep|CCS_PIG,0.0205488562366826
t33861aep|GCC1_HUMAN,0.185094423917266
t35769aep|S36A1_HUMAN,0.0112554008473427
t35772aep|MED23_DANRE,0.0222338475343445
t35780aep|DDX23_HUMAN,0.338403466913592
t35781aep|NISCH_HUMAN,0.0233285265024741
t37409aep|ATS9_HUMAN,0.203025908161374
t37423aep|CCD83_MACFA,0.0168176655263583
t37404aep|FIGL1_RAT,0.121750349585778
t37395aep|CC148_HUMAN,0.213425602938816
t37418aep|CHSS2_HUMAN,0.0501006951209039
t37405aep|OTOF_DANRE,0.0148104129224355
t37427aep|Y2R2_DROME,0.0112554008473427
t37420aep|TTLL6_DANRE,0.00945775975199326
t37410aep|UQCC1_XENLA,0.0378827869616336
t32186aep|COPIA_DROME,0.0112554008473427
t32189aep|NINL_HUMAN,0.0497405410678842
t32212aep|PIGB_BOVIN,0.0177434830626323
t32204aep|GON4L_HUMAN,0.0240045481551169
t32200aep|S35F6_HUMAN,0.0879646418327668
t32187aep|GANAB_MOUSE,0.00672871184851404
t38723aep|HDHD1_HUMAN,0.0042501285938131
t38735aep|KAPR2_DROME,0.0149635166978273
t38730aep|FBN1_PIG,0.0112554008473427
t38720aep|RTKN_HUMAN,0.0317667061350632
t38159aep|TPGS2_HUMAN,0.0034895852750456
t38139aep|FNBP4_MOUSE,0.0163362019543522
t38154aep|S35E1_RAT,0.124639013016346
t38165aep|TYDP1_MOUSE,0.0668941336584048
t38152aep|TNPO3_HUMAN,0.153156037881568
t38146aep|MLP_ACRMI,0.0224707896082035
t38153aep|APEX2_BOVIN,0.131021108375935
t38169aep|CARTF_RAT,0.000389245140300129
t37739aep|RFC1_HUMAN,0.163506926330011
t37748aep|NATD1_XENTR,0.130316511717877
t37763aep|ACBG2_XENLA,0.0244142968883843
t37743aep|WDR87_HUMAN,0.106357240247953
t33049aep|RTJK_DROME,0.0736628406419158
t33063aep|GRP78_CHICK,0.393760031167234
t33040aep|IQCB1_MOUSE,0.00734934885611176
t33037aep|MED4_RAT,0.035151003832287
t33047aep|HKR1_HUMAN,0.472166850023988
t33061aep|TTLL4_CAEBR,0.0955447222977835
t32607aep|SMYD4_PONAB,0.101726691407212
t32600aep|TRPA1_CAEEL,0.0067998547303426
t32590aep|SGSM1_MOUSE,0.0946206048613096
t32589aep|DHDH_XENTR,0.0430314171154037
t35664aep|HTRA2_MOUSE,0.0319771661320174
t35654aep|TOP3B_ARATH,0.202776851156253
t35674aep|ZRAB3_BOVIN,0.187141410486076
t31398aep|ANPRB_HUMAN,0.0465772798371956
t31389aep|SCRY4_ENTDO,0.611451206286051
t31425aep|RTBS_DROME,0.0112554008473427
t31408aep|TRF6A_XENLA,0.0176136653240213
t31401aep|U5S1_CHICK,0.532289785675483
t37485aep|UN93L_DROME,0.0112554008473427
t37801aep|FA69C_MOUSE,0.0112554008473427
t37793aep|TDRD1_DANRE,0.0542114329608877
t37778aep|TC1A_CAEEL,0.0112554008473427
t37800aep|ZMYM1_HUMAN,0.0112554008473427
t37786aep|RTBS_DROME,0.0112554008473427
t37798aep|HMCN1_HUMAN,0.042707527830442
t35786aep|AP1G_DICDI,0.0159624452765819
t35818aep|TCB2_CAEBR,0.0112554008473427
t35816aep|GIN1_HUMAN,0.0224707896082035
t35817aep|GIN1_RAT,0.0112554008473427
t35793aep|CND1_XENLA,0.187721353984128
t34532aep|TFF3_RAT,0.0112554008473427
t34523aep|K1468_XENTR,0.00366842999707539
t34505aep|ELP1_HUMAN,0.244356939449816
t37134aep|TILB_XENTR,0.106337027741677
t37151aep|ANR28_MOUSE,0.00375046657042488
t37125aep|RTXE_DROME,0.0112554008473427
t37135aep|TRI37_MOUSE,0.0311663314626135
t37145aep|ZCPW1_HUMAN,0.0503337320165437
t37137aep|TET2_HUMAN,0.279053876116148
t37156aep|CHIA_MOUSE,1.38728202765012e-05
t37138aep|MED1_HUMAN,0.141638865506379
t37162aep|LTBP4_HUMAN,0.0112554008473427
t37121aep|HMCN1_HUMAN,3.52457386882298e-05
t36805aep|SZT2_MOUSE,0.0112554008473427
t36810aep|EFC10_MOUSE,0.0390567827735491
t36798aep|ASCC3_CHICK,0.0513138164669031
t36774aep|GGT1_RAT,0.0862098161074201
t36775aep|ANKE1_HUMAN,0.00843985808337447
t36784aep|TYW1_MOUSE,0.581538005179769
t36785aep|PGBD4_HUMAN,0.0224707896082035
t36809aep|CE104_HUMAN,0.208080796645989
t31816aep|TSP1_XENLA,0.00187145854297484
t31788aep|PRKDC_XENLA,0.0837349023211372
t31787aep|KLC4_HUMAN,0.0112554008473427
t31811aep|UBIQ_ENCCU,0.0028110682660278
t31804aep|P53_TETMU,0.0112554008473427
t31796aep|GTSF1_BOVIN,0.0930965468652137
t36111aep|P20D2_MOUSE,0.571419120822748
t36103aep|CC171_HUMAN,0.00784569015875553
t36093aep|ZN862_HUMAN,0.0269566178294414
t36116aep|BRCA1_MOUSE,0.218645856052459
t36104aep|SDK1_HUMAN,0.00436424355322548
t36094aep|ZN622_MOUSE,0.34905331210461
t31311aep|NPA1P_HUMAN,0.156455663854281
t31332aep|AMACR_MOUSE,0.0326096625780433
t31356aep|OTOF_HUMAN,0.00598340473849142
t31318aep|PRKDC_CANLF,0.0224707896082035
t31358aep|UBX11_RAT,0.0928788387881559
t31357aep|LRRC9_HUMAN,0.00232546139562001
t31346aep|MGT4A_RAT,0.0112554008473427
t31317aep|SPN90_MOUSE,0.0740831638895503
t31324aep|DOT1L_HUMAN,0.00308311663565276
t37291aep|CE120_HUMAN,0.115203824531144
t37292aep|K1586_HUMAN,0.0290130032133636
t37309aep|WHRN_HUMAN,0.00409507408582408
