t2202aep|PLCL_MYTGA,0.0123008929587392
t4296aep|KLC_DROME,0.0123008929587392
t27882aep|OPN3_HUMAN,0.0924235120034019
t13247aep|GGT1_HUMAN,0.519519211947818
t13244aep|S6A19_PONAB,0.0399174623788511
t4412aep|KCRB_CHICK,0.0123008929587392
t25373aep|P5CS_PONAB,0.0105429980011342
t2827aep|KCNH5_HUMAN,0.0123008929587392
t24667aep|CALM_PROMN,0.0123008929587392
t18616aep|PRY1_YEAST,0.00598202856877996
t9164aep|GRM8_MOUSE,0.0123008929587392
t28436aep|CALM_METSE,0.0123008929587392
t11845aep|DRS7B_MOUSE,0.0345453943722705
t2568aep|GCY_STRPU,0.0123008929587392
t24877aep|TES_AOTNA,0.167261267909535
t3297aep|MMP27_HUMAN,4.34446711035103
t24885aep|TUT7_MOUSE,0.00797868408359441
t28605aep|ENTP1_HUMAN,0.0816632470634852
t15156aep|PTPRF_DANRE,0.015410864429769
t15157aep|SVEP1_HUMAN,0.71196765541046
t26771aep|CATL_SARPE,0.00614816041689536
t13791aep|OSGI2_HUMAN,0.00379568695301444
t13822aep|MEIG1_XENLA,0.126902862274152
t28157aep|PHYD1_DANRE,0.0395930208554085
t9187aep|HIPL2_MOUSE,0.104461881766745
t2754aep|SYCE2_MOUSE,0.0123008929587392
t2731aep|ADA1A_ORYLA,0.133399715251051
t29629aep|SETMR_HUMAN,0.0123008929587392
t19489aep|SUFU_MOUSE,0.00481387287506805
t17353aep|OPN4B_XENLA,0.0123008929587392
t17320aep|PHF10_HUMAN,0.0738916854924638
t17347aep|NAS4_CAEEL,0.0164368811118691
t17308aep|RGRF1_RAT,0.00894296810408376
t29085aep|DUS19_MOUSE,0.0123008929587392
t17341aep|G3ST3_MOUSE,0.0690579478225898
t29082aep|KCNF1_HUMAN,0.00917736474564975
t17310aep|KAD8_HUMAN,0.00256728164248752
t29240aep|NDK7_MOUSE,0.0849157459474093
t17958aep|KFA_MOUSE,0.280803420230046
t23442aep|RAB38_HUMAN,0.0652243751238875
t31035aep|TTLL1_BOVIN,0.0123008929587392
t31052aep|GRDP2_ARATH,0.00677905409846223
t23426aep|SFRP4_RAT,0.119882648435255
t10195aep|CFA53_HUMAN,0.247189410437855
t10197aep|COCA1_CHICK,1.21355670914654
t10211aep|CFA46_HUMAN,0.0123008929587392
t10196aep|TC1A_CAEEL,0.036795341797991
t27229aep|DRAM2_RAT,0.00963207321203415
t10714aep|KSR2_MOUSE,1.03282400581002
t10708aep|CR3L1_MOUSE,0.260458401038291
t30054aep|ZNFX1_HUMAN,0.0149610278119296
t3813aep|PCR3_ARATH,0.5742540425957
t3825aep|GRM3_RAT,0.0489897064660676
t29455aep|KLC4_HUMAN,0.0123008929587392
t18810aep|NAS4_CAEEL,1.01774537610444
t29468aep|DHE2_YEAST,0.0123008929587392
t18798aep|HSF2_CHICK,0.0123008929587392
t27669aep|CPNE8_HUMAN,0.00839113298550154
t27665aep|PGBD4_HUMAN,0.0245658710345943
t12378aep|CFA54_HUMAN,0.0123008929587392
t27684aep|CCD65_BOVIN,0.0114752038105862
t21205aep|NADA_APLCA,0.0123008929587392
t30362aep|KCNC1_MOUSE,0.029188931475343
t26205aep|CHSTB_MOUSE,0.0123008929587392
t7024aep|VWKA_DICDI,0.0245658710345943
t30988aep|CFA43_HUMAN,0.000389590526616803
t23911aep|EXOS1_HUMAN,0.00895031005271272
t203aep|FKB12_DROME,0.00307983846067216
t26473aep|NDST3_HUMAN,0.00057969600071738
t24462aep|RTBS_DROME,0.0123008929587392
t26286aep|ABCD3_HUMAN,0.056066558127898
t24960aep|TRIM3_RAT,0.0334211916144901
t23376aep|COMA_CONMA,0.363269349786947
t23361aep|CASR_BOVIN,0.036795341797991
t30993aep|SC5A8_HUMAN,0.860136589969411
t30802aep|BLML4_DICDI,0.0428443163015383
t23078aep|EPHA7_CHICK,0.0337303451506267
t30920aep|ITAV_CHICK,0.00643148372077463
t23079aep|AJL2_ANGJA,0.599628384873948
t23083aep|GP126_DANRE,0.00571217776156714
t24261aep|CASP3_SAIBB,0.00194386269455494
t24237aep|NPY1R_CAVPO,0.016613393224893
t1547aep|ZDHC2_ARATH,0.0123008929587392
t25744aep|BTBD7_HUMAN,0.0421229887869998
t5157aep|ADCY9_HUMAN,0.0113352173043
t29828aep|TSSK5_MOUSE,0.0123008929587392
t19811aep|KLC4_HUMAN,0.0123008929587392
t29842aep|GIN1_MACFA,0.036795341797991
t27265aep|GALE_BACSU,0.0853660834851507
t27254aep|PCDP1_HUMAN,0.0118487855365169
t24828aep|ENPP4_XENLA,0.216235290903303
t25534aep|ACM1_DROME,0.0123008929587392
t25551aep|TTC28_MOUSE,0.00542229210214138
t24901aep|THAP9_HUMAN,0.0123008929587392
t3357aep|GEMI7_MOUSE,0.00334438634744949
t24889aep|TCB2_CAEBR,0.0123008929587392
t24905aep|RTBS_DROME,0.0123008929587392
t4677aep|F183A_BOVIN,0.0192660496770002
t4659aep|K0556_MOUSE,0.00766648589157012
t25496aep|AOSL_PLEHO,0.147823012487691
t25501aep|CEL3B_MOUSE,7.47417172983918
t20565aep|TSEAR_MOUSE,0.0123008929587392
t25892aep|AGRG2_MOUSE,0.00365211107258942
t5571aep|RS21_DROYA,0.020518097760484
t8278aep|HRH2_PONPY,0.128440055026043
t26582aep|TRAC9_MAIZE,0.000890232038614355
t8295aep|SAXO1_MACFA,0.00133015292407008
t18032aep|CLUA1_MOUSE,0.00207258462143056
t28257aep|DAPK2_HUMAN,0.00917538767861108
t28293aep|HFM1_HUMAN,0.0123008929587392
t2593aep|YQEM_BACSU,0.135428706225554
t28264aep|CDC16_HUMAN,0.00661020672728705
t28292aep|CABC2_BACT4,0.0508547644918169
t29797aep|ZBED1_HUMAN,0.0123008929587392
t19755aep|TBC31_XENTR,0.149637676789401
t24739aep|ZMYM1_HUMAN,0.0255643396119353
t2837aep|LOXH1_HUMAN,0.0160402770073784
t24687aep|TRY3_SALSA,7.727026520495
t24721aep|PTPRE_MOUSE,0.036795341797991
t24703aep|PELET_DROME,0.0123008929587392
