t38617aep|U2AFM_HUMAN,0.379057827326196
t34467aep|GAPR1_MOUSE,0.387900442017915
t34465aep|NPHP4_MOUSE,0.0342223218561542
t34476aep|Y1199_DICDI,0.116861127223053
t34674aep|KI16B_MOUSE,0.0513612047579199
t34670aep|VKORL_HUMAN,0.440976262334696
t37723aep|INTU_BOVIN,0.190320621388627
t32514aep|NPHP1_CANLF,0.626482424164112
t32508aep|CLK2_MOUSE,1.09752440433024
t32517aep|IRF8_HUMAN,0.157946589728668
t32494aep|RBM45_MOUSE,0.686260247894189
t32513aep|MRC2_HUMAN,0.116861127223053
t32516aep|DTNB_MOUSE,0.114841152696883
t36976aep|WBS22_MOUSE,0.592439615135399
t37004aep|MICA2_RAT,0.119955947662239
t36996aep|MPIP1_HUMAN,0.0204070966133065
t37006aep|SVIL_MOUSE,0.0993783397703663
t35146aep|ABR_BOVIN,0.0676717415469981
t35144aep|NLTP_MOUSE,0.227733019049447
t35148aep|MT21D_MOUSE,0.196844228282096
t35149aep|5HT1F_HUMAN,0.116861127223053
t35154aep|DJC17_BOVIN,0.16781352789207
t35155aep|PRS8_DROME,0.18389700146451
t33518aep|INT7_CHICK,0.0516671869695939
t38571aep|VLDLR_HUMAN,0.343786783597601
t38572aep|TADA1_RAT,0.111302839375055
t38564aep|DEN2C_HUMAN,0.146048751049034
t31271aep|GAB1_MESAU,0.0127587449995885
t31277aep|NHEJ1_DANRE,0.0140957763054844
t31950aep|B3GN2_HUMAN,0.952149980025588
t31934aep|MENG_LEPIN,0.00394181927547623
t31929aep|CERS6_HUMAN,0.102729162973134
t31935aep|AP4S1_HUMAN,0.182882377664555
t31938aep|UCP4_HUMAN,0.0092924031548443
t31942aep|ECE1_CAVPO,0.0999596482438603
t31956aep|ARID2_HUMAN,0.454374415335948
t32739aep|CHM1B_CHICK,0.471430863899277
t32744aep|LMX1A_HUMAN,2.5632991010255
t33610aep|VP33A_RAT,0.0888546713014093
t33595aep|FLT3_HUMAN,0.759031204515766
t32376aep|FA96A_HUMAN,0.353124176450989
t32369aep|GAPR1_HUMAN,0.11141874939876
t32370aep|CREB_HYDVD,0.726285102172301
t38581aep|HE_HEMPU,0.197516643261374
t38582aep|TTC24_HUMAN,0.0880116286786417
t38432aep|MYO3B_HUMAN,0.7189753284659
t38418aep|TMM19_XENTR,0.0364506798227677
t38509aep|DCDC2_MOUSE,0.0699599539560318
t38497aep|DDC_HUMAN,0.901095628215867
t38498aep|MARH1_HUMAN,1.16437992985542
t38499aep|ECM29_HUMAN,0.129068609497042
t31735aep|NOTU2_XENLA,0.101230263417861
t31729aep|FREM2_MOUSE,0.0790092389464607
t31734aep|VITRN_MOUSE,0.103534766669009
t31741aep|FBP1_STRPU,0.225715998132305
t33119aep|KINH_STRPU,0.64920074541445
t33099aep|ASM_BOVIN,0.0721259058776559
t37464aep|PK1L2_MOUSE,0.0413764184096672
t37461aep|EYS_HUMAN,0.116861127223053
t37460aep|TBCEL_RAT,0.147281701730568
t36611aep|EDRF1_PONAB,0.171118168918893
t36591aep|ZMYM1_HUMAN,0.109796685197716
t36606aep|TBD_CANLF,0.0367463280346548
t36612aep|ERIC3_HUMAN,0.306910584096172
t32286aep|RIMS2_RAT,1.69980428754252
t32273aep|CI172_HUMAN,0.102163046499128
t32296aep|HSP70_HYDVU,0.288687316870052
t32295aep|CHD1_MOUSE,0.0165238914134638
t32293aep|PKHM2_HUMAN,0.151158436413493
t32290aep|NOL6_MOUSE,0.0413039530158368
t32909aep|F228B_MOUSE,0.0842418283895006
t32902aep|AFAD_HUMAN,0.280015217713451
t32906aep|SNP47_RAT,0.0869649507349116
t32917aep|CC020_MOUSE,0.188920656334314
t32931aep|OCTL_DROME,0.0996074557747472
t32907aep|KALRN_MOUSE,0.0567746871865847
t32343aep|GRT1A_DANRE,0.864361137463868
t32333aep|DHDDS_HUMAN,0.095449691153039
t32346aep|TTLL4_HUMAN,0.0740748818132765
t32897aep|CASP2_CHICK,0.234553518828752
t32873aep|TPMT_PSEAB,0.0284274681196954
t32875aep|RPAP3_MOUSE,0.100635709216613
t32894aep|MYO1A_MOUSE,0.290015206390884
t37681aep|NFX1_BOVIN,0.107453392081004
t37679aep|DCC_MOUSE,0.125036253569758
t37695aep|ANPRA_MOUSE,0.10560572637571
t33231aep|CLPX_MOUSE,0.0329886891113088
t33218aep|TACC3_XENLA,1.31030964412158
t33224aep|CD047_MOUSE,0.0302763906539491
t33843aep|Y2R2_DROME,0.116861127223053
t33855aep|RASF2_MOUSE,0.566722027886919
t33869aep|OSBL8_MOUSE,0.32556069685268
t33859aep|KCNH2_CHICK,0.225715998132305
t33868aep|CCS_PIG,0.0420540306015939
t35773aep|FRIS_LYMST,0.28776461509185
t35780aep|DDX23_HUMAN,0.10041310029632
t35781aep|NISCH_HUMAN,0.0843083018688546
t37402aep|NAC1_CAVPO,0.293992125119367
t37422aep|ADA12_MOUSE,0.0959967990956923
t37417aep|GRM8_RAT,0.225715998132305
t37418aep|CHSS2_HUMAN,0.0670667030785541
t37401aep|FNIP1_CHICK,0.212216935305245
t37405aep|OTOF_DANRE,1.76312444287893
t37421aep|RIMB1_RAT,0.104144041724976
t37410aep|UQCC1_XENLA,0.322540228897196
t32189aep|NINL_HUMAN,0.55872227921276
t32210aep|VIAAT_XENTR,0.168449050885386
t32188aep|ZBED4_HUMAN,0.116861127223053
t32212aep|PIGB_BOVIN,0.100957993561743
