t25457aep|DYH1_RAT,0.0191958630726795
t2497aep|MLRP2_ACRMI,0.0147366365069048
t27148aep|ADRB2_TSCTR,0.660347620367524
t25396aep|NKX26_HUMAN,0.0561030057918745
t18857aep|PRY1_YEAST,5.82990947225422
t18862aep|SLIT_DROME,0.0298679280508232
t29006aep|Y381_RICFE,0.30481911173292
t28999aep|MARH2_XENLA,0.0282229396523103
t31083aep|TRPM3_HUMAN,0.00907936071985735
t24455aep|SEPR_MOUSE,0.0010019607752391
t24452aep|AA2BR_CHICK,0.0282229396523103
t29571aep|STAN_DROME,0.0561030057918745
t27520aep|LIN1_NYCCO,0.0282229396523103
t27530aep|HYDMA_HYDVU,0.0535338624130451
t11798aep|DPOE2_MOUSE,0.0198800761366192
t25340aep|CC177_MOUSE,0.00678867137378049
t27882aep|OPN3_HUMAN,0.083650808461187
t13247aep|GGT1_HUMAN,0.406126481572008
t13256aep|CSL3_ONCKE,0.0282229396523103
t13244aep|S6A19_PONAB,0.0173942281113028
t25384aep|TYW5_DANRE,0.0115273780314993
t4420aep|OCTB1_DROME,0.0282229396523103
t25373aep|P5CS_PONAB,0.0452040999962538
t4424aep|T106A_HUMAN,0.00900157574054199
t25797aep|FBP1_STRPU,0.0438021128331354
t24660aep|TRIM9_HUMAN,0.0150401909950686
t18616aep|PRY1_YEAST,0.0219040752623511
t14354aep|SUPT3_HUMAN,0.00345974427927379
t28433aep|CAS4_EPHMU,0.00425064446674851
t14347aep|GCR1_ARATH,0.0148965790982666
t27546aep|ANR28_MOUSE,0.0229434679390256
t11845aep|DRS7B_MOUSE,0.0260539247950493
t11831aep|AGFG1_RAT,0.00369154996808403
t24592aep|GTR8_MOUSE,0.0282229396523103
t24877aep|TES_AOTNA,0.0654211962570699
t3297aep|MMP27_HUMAN,4.14335089840919
t24885aep|TUT7_MOUSE,0.0239007307771655
t15140aep|KCNF1_HUMAN,0.0143915964207886
t28605aep|ENTP1_HUMAN,0.0658445246842209
t15157aep|SVEP1_HUMAN,0.607844974509195
t13791aep|OSGI2_HUMAN,0.00745275557073063
t13826aep|PZRN3_HUMAN,0.0130579742474198
t13822aep|MEIG1_XENLA,0.131292855115271
t28157aep|PHYD1_DANRE,0.0153442286993927
t9187aep|HIPL2_MOUSE,0.110876480983503
t13811aep|TSP2_MOUSE,0.00920183252485345
t2754aep|SYCE2_MOUSE,0.0282229396523103
t2731aep|ADA1A_ORYLA,0.0996152785678778
t2752aep|CP17A_RANDY,0.0143627752011726
t2746aep|1433_DICDI,0.00781409649905498
t29627aep|ZG57_XENLA,0.0319446258357853
t30834aep|S35A4_XENTR,0.0178720458702081
t22822aep|ADA1A_ORYLA,0.0104767862058286
t17307aep|HEBP2_HUMAN,0.00192836377827619
t17347aep|NAS4_CAEEL,0.0235501804376762
t17341aep|G3ST3_MOUSE,0.0242687012577336
t17351aep|INMT_RABIT,0.0722571106631251
t17958aep|KFA_MOUSE,0.262979330660951
t17956aep|FUCTA_DROME,0.0115266477579235
t31037aep|KY_MOUSE,0.00795376975321667
t31052aep|GRDP2_ARATH,0.026086718092346
t23426aep|SFRP4_RAT,0.158606094810697
t10195aep|CFA53_HUMAN,0.176904757107458
t10197aep|COCA1_CHICK,0.562854631751665
t10193aep|ABCAD_MOUSE,0.018342487593428
t10196aep|TC1A_CAEEL,0.0282229396523103
t10714aep|KSR2_MOUSE,0.95341172923202
t10708aep|CR3L1_MOUSE,0.184329141408212
t30039aep|LAT4_MOUSE,0.0282229396523103
t20598aep|FGFR1_HUMAN,0.00832804560868246
t30054aep|ZNFX1_HUMAN,0.04649816256921
t20612aep|SEN2_MOUSE,0.00261829945793547
t3837aep|ABR_BOVIN,0.014713504778906
t3813aep|PCR3_ARATH,0.555772894602331
t18810aep|NAS4_CAEEL,0.54496700517056
t27673aep|CAPA_BACAN,0.00232050297696058
t30988aep|CFA43_HUMAN,0.0279335626370326
t30970aep|CHI3_CANAL,0.00563279940627497
t184aep|MPDZ_HUMAN,0.0379508032273841
t191aep|SIR1_RAT,0.0209992997639948
t24462aep|RTBS_DROME,0.0282229396523103
t24463aep|ATL7_ARATH,0.0350415045619857
t26286aep|ABCD3_HUMAN,0.0714710006957273
t24960aep|TRIM3_RAT,0.0802766582776862
t23376aep|COMA_CONMA,0.124280273218766
t30993aep|SC5A8_HUMAN,0.580464432583114
t31013aep|CSL3_ONCKE,0.0429075552518061
t31000aep|NCF2_BOVIN,0.0376428727978835
t23352aep|GREM2_MOUSE,0.0224702618882087
t30802aep|BLML4_DICDI,0.0290712113911975
t23078aep|EPHA7_CHICK,0.0293133016036081
t23079aep|AJL2_ANGJA,0.480611438194025
t24237aep|NPY1R_CAVPO,0.0131123956592598
