t34670aep|VKORL_HUMAN,0.872852053073262
t33393aep|TEAN2_MOUSE,0.0606364751980959
t37718aep|CFA45_HUMAN,1.15236900654329
t37731aep|S17A9_MOUSE,0.0363625500783383
t37729aep|KPCD3_MOUSE,0.161697347163615
t37723aep|INTU_BOVIN,0.000967173334660351
t32518aep|PTHD3_MOUSE,0.06427857211859
t32515aep|ZFY26_BOVIN,0.0323495220892101
t32512aep|ACSF4_HUMAN,0.0227511920877574
t36073aep|KIF9_MOUSE,0.0363625500783383
t36975aep|DYH5_HUMAN,0.0320403412031932
t36989aep|GPX5_PIG,0.00466065706818421
t36977aep|ECT_ACRMI,0.0286106030315206
t36990aep|TV23B_BOVIN,0.110526162205468
t36988aep|FAT4_HUMAN,0.0211031887628975
t37004aep|MICA2_RAT,0.0340456284167239
t36996aep|MPIP1_HUMAN,0.0107025881009229
t37006aep|SVIL_MOUSE,0.0364394154626107
t35158aep|LITH_RAT,0.064783832015975
t35148aep|MT21D_MOUSE,0.0432005679581455
t35155aep|PRS8_DROME,0.058331752404767
t37975aep|ZNHI1_HUMAN,0.278249184859812
t33519aep|CCD25_DANRE,0.124559559187994
t33518aep|INT7_CHICK,0.00687839755489579
t38575aep|CC146_RAT,0.000290316028006143
t38574aep|DDX31_MOUSE,0.0706589959183411
t31929aep|CERS6_HUMAN,0.0859180434887022
t31935aep|AP4S1_HUMAN,0.0292387173406044
t31938aep|UCP4_HUMAN,0.0253048276203334
t31942aep|ECE1_CAVPO,0.0551708588291623
t31956aep|ARID2_HUMAN,0.0847658225645635
t32739aep|CHM1B_CHICK,0.197433636059598
t32745aep|PRRT1_MOUSE,0.0155923659967584
t32744aep|LMX1A_HUMAN,1.91658160901471
t32747aep|ZIC2B_XENLA,0.0298656971014388
t33591aep|EXOS4_BOVIN,0.0431582902515265
t33615aep|S43A3_BOVIN,0.0363625500783383
t33603aep|XPP1_MOUSE,0.0430980947996659
t32376aep|FA96A_HUMAN,0.130083709701102
t32382aep|TCHP_DANRE,0.284915042316749
t38581aep|HE_HEMPU,0.078957263839738
t38582aep|TTC24_HUMAN,0.0075130515339267
t38419aep|G3ST3_MOUSE,0.0363625500783383
t38414aep|ORC4_PONAB,0.00596876578446463
t38504aep|CATIP_DANRE,0.108049452736529
t38506aep|ANK2_HUMAN,0.398537249809297
t38509aep|DCDC2_MOUSE,0.670220411662758
t38497aep|DDC_HUMAN,0.258929771053259
t38498aep|MARH1_HUMAN,0.0637600800749615
t38499aep|ECM29_HUMAN,0.0754701827000423
t31735aep|NOTU2_XENLA,0.0207316862731459
t31732aep|F10C1_MOUSE,0.0777575111275245
t31729aep|FREM2_MOUSE,0.0693047304340773
t31725aep|TPC13_XENTR,0.00667937242162015
t31730aep|S2611_HUMAN,0.0310095230115488
t33119aep|KINH_STRPU,0.638556173129482
t33099aep|ASM_BOVIN,0.0553147863932235
t37461aep|EYS_HUMAN,0.0363625500783383
t37460aep|TBCEL_RAT,0.112354985037881
t36591aep|ZMYM1_HUMAN,0.065007895783018
t36612aep|ERIC3_HUMAN,0.614769857451231
t34691aep|PLCL2_MOUSE,0.317932707816842
t32286aep|RIMS2_RAT,0.144535062136962
t32283aep|PPBT_CHICK,0.882709852306401
t32909aep|F228B_MOUSE,0.209109123764242
t32906aep|SNP47_RAT,0.00646637359019657
t32343aep|GRT1A_DANRE,0.490530125574518
t32339aep|QRFPR_HUMAN,0.0363625500783383
t32350aep|DCA15_BOVIN,0.0180401739890446
t32346aep|TTLL4_HUMAN,0.0292860923985784
t32866aep|PDD2L_CHICK,0.0106768994927013
t32898aep|CAC1B_RAT,0.0217271257504707
t32895aep|RMR2_ORYSJ,0.0147812844888949
t32872aep|AMPN_RABIT,0.0106418442975859
t32887aep|TOPB1_HUMAN,0.092521194382802
t32888aep|ANR31_HUMAN,0.0246941043295439
t32894aep|MYO1A_MOUSE,0.00815519814607465
t32896aep|LOX5_RAT,1.78745647335642
t37696aep|HMCN1_HUMAN,0.0363625500783383
t37681aep|NFX1_BOVIN,0.0238631175097299
t37679aep|DCC_MOUSE,0.108225134085326
t33224aep|CD047_MOUSE,0.60418519171364
t33225aep|CE350_HUMAN,0.000194616279736011
t33205aep|KCNQ1_SQUAC,0.0091583670328245
t33230aep|GKAP1_DANRE,0.0307356828407693
t33214aep|EXOS1_HUMAN,0.0905825814781318
t33853aep|RN220_HUMAN,0.0444804680067888
t33869aep|OSBL8_MOUSE,0.00255361976572729
t33868aep|CCS_PIG,0.066833893331437
t35772aep|MED23_DANRE,0.0195474742381987
t35771aep|RASEF_MOUSE,0.0247453437478735
t35781aep|NISCH_HUMAN,0.0395195124541563
t37400aep|AMPP1_PENRW,0.0113038189390361
t37402aep|NAC1_CAVPO,0.00271593335439559
t37422aep|ADA12_MOUSE,1.13310816156504
t37417aep|GRM8_RAT,0.0363625500783383
t37426aep|MALT1_HUMAN,0.0019231430203513
t37418aep|CHSS2_HUMAN,0.0573621945661704
t37413aep|MACF1_HUMAN,0.109900208643026
t37401aep|FNIP1_CHICK,0.038596033754203
t37405aep|OTOF_DANRE,0.0175263462768312
t37420aep|TTLL6_DANRE,1.11068345554217
t37410aep|UQCC1_XENLA,0.107944109347363
t32189aep|NINL_HUMAN,0.0310024260053609
t32210aep|VIAAT_XENTR,0.0148053905614356
t32206aep|EGL15_CAEEL,0.0531980986912357
t32187aep|GANAB_MOUSE,0.0451544329329264
t32192aep|MALT1_HUMAN,0.187441206117807
t38735aep|KAPR2_DROME,0.0956915722200108
t38728aep|EPB1B_XENLA,0.0643229982429188
t38731aep|SAC2_DANRE,0.0936425999521944
t38159aep|TPGS2_HUMAN,0.0173813457451801
t38172aep|CCD13_HUMAN,0.252499000987573
t37750aep|ABHD8_BOVIN,0.0732676531211368
t37745aep|USH2A_HUMAN,0.0363625500783383
t37739aep|RFC1_HUMAN,0.104231749725112
t37748aep|NATD1_XENTR,0.0605161783750466
t37760aep|RTJK_DROME,0.0242879848253266
t37743aep|WDR87_HUMAN,0.0128366249741668
t33040aep|IQCB1_MOUSE,0.0697226421472194
t33045aep|AT8B2_HUMAN,0.152502545649272
t33073aep|PMGT1_BOVIN,0.745150601035351
t33037aep|MED4_RAT,0.114983476494377
t33048aep|CAN7_HUMAN,0.0399377612130324
t32607aep|SMYD4_PONAB,0.147129911812735
t32609aep|OPTN_DANRE,0.0803977982066996
t35655aep|NPHP3_HUMAN,0.0250912794264896
t35677aep|PGDH_HUMAN,1.14151357506972
t35664aep|HTRA2_MOUSE,0.0195275104039938
t31426aep|ZN830_XENTR,0.0427454346261525
t31412aep|FND3A_HUMAN,0.296017659096132
t31393aep|MEC2_CAEEL,0.402497134532319
t31400aep|WDR93_HUMAN,0.0695011554816442
t31424aep|CFA57_MOUSE,0.0684744621166577
t31408aep|TRF6A_XENLA,0.0203295986784169
t31430aep|ARGI1_HUMAN,0.116016101126766
t37485aep|UN93L_DROME,0.0720723378083549
t37788aep|BRAP_HUMAN,0.0383403161160307
t37801aep|FA69C_MOUSE,0.0363625500783383
t37791aep|Y381_RICFE,0.131124966064566
t37793aep|TDRD1_DANRE,0.012610914864675
t37782aep|EMAL4_XENTR,0.0631234119997338
t37796aep|DC2L1_HUMAN,0.202058080480305
t37792aep|LACE1_HUMAN,0.000817164799972379
t37803aep|SPNS1_DANRE,0.155544194394232
t35786aep|AP1G_DICDI,0.0543881663609944
t35823aep|FYCO1_MOUSE,0.0236471572919468
t34507aep|SAMD9_HUMAN,0.0612971258344564
t34532aep|TFF3_RAT,0.0363625500783383
t34520aep|AGRG4_HUMAN,0.0238365987638206
t34516aep|MFTC_MOUSE,0.0217675465753541
t34536aep|NALP7_HUMAN,0.0829421531078106
t34538aep|NAL12_HUMAN,0.00596876578446463
t37168aep|M3K3_HUMAN,0.0344152558012731
t37145aep|ZCPW1_HUMAN,0.00873321392033093
t37136aep|MRE11_RAT,0.270921305000925
t37161aep|CFA69_PAPAN,0.012774553840311
t37156aep|CHIA_MOUSE,0.00272980617467219
t37164aep|PSD10_DICDI,0.062758980475006
t37121aep|HMCN1_HUMAN,0.0559119417503096
t36793aep|CUBN_HUMAN,0.0363625500783383
t36805aep|SZT2_MOUSE,0.0363625500783383
t36775aep|ANKE1_HUMAN,0.0580414062835257
t36777aep|M3K7_MOUSE,0.106319742381385
t36771aep|TM175_DANRE,0.0363625500783383
t36809aep|CE104_HUMAN,0.0606930068888295
t31783aep|DMBT1_RABIT,3.17730724417714
t31796aep|GTSF1_BOVIN,0.0468690508394273
t36091aep|F166B_XENTR,0.273466103714192
t36128aep|CAH2_TRIHK,1.11443325291265
t36093aep|ZN862_HUMAN,0.0296725511838372
t36104aep|SDK1_HUMAN,0.060240939564847
t31348aep|ZBED4_MOUSE,0.0363625500783383
t31354aep|CA2D4_HUMAN,0.00271593335439559
t31341aep|DNLI3_HUMAN,0.0967993551598959
t31357aep|LRRC9_HUMAN,0.0770253260660879
t31316aep|ROR1_HUMAN,0.874844217348087
t37247aep|NAS13_CAEEL,0.0974000266227664
t37293aep|K1586_HUMAN,0.0363625500783383
t37290aep|RIF1_MOUSE,0.0490762993657823
t37256aep|PTPRS_RAT,0.0363625500783383
t37258aep|PTPRS_MOUSE,0.0363625500783383
t37257aep|PTPRS_MOUSE,0.0573288889385948
t31485aep|TOR1A_MACFA,0.475028113236306
t31480aep|KCNB2_MOUSE,0.0363625500783383
t31534aep|RTXE_DROME,0.0363625500783383
t31502aep|FGFR3_CHICK,0.0363625500783383
t31516aep|GIN1_MACFA,0.0363625500783383
t34379aep|MET16_DANRE,0.113647394877069
t34403aep|WDFY3_MOUSE,0.0816570685935908
t34386aep|ACD11_CAEEL,0.00953616358748745
t34397aep|ZBED1_HUMAN,0.0363625500783383
t34398aep|ZBED1_HUMAN,0.0363625500783383
t34360aep|PH4H_RAT,0.0115119695086239
t34424aep|TRY3_SALSA,3.95582196779185
t34415aep|CC157_BOVIN,0.0122593740689729
t32564aep|AVIL_HUMAN,0.00272980617467219
t32521aep|POGK_MOUSE,0.0363625500783383
t32560aep|TOB1A_XENLA,0.0287250849364983
t32570aep|SYT11_HUMAN,0.028394575860587
t32529aep|LOXH1_MOUSE,0.73949592279463
t32571aep|RTBS_DROME,0.0160933801792447
t31234aep|UCHL3_HUMAN,0.0326946930022842
t38292aep|BVMO2_STRCO,0.600170323136244
t38287aep|ZBED1_HUMAN,0.0363625500783383
t31240aep|CCND2_BOVIN,0.0722394188027295
t38275aep|CATIN_HUMAN,0.0126356052588161
t38256aep|ODFP2_CHICK,0.0346683764043735
t38303aep|IFT81_MOUSE,0.383538870063114
t38284aep|WDR66_HUMAN,0.162094217472673
t38295aep|Y1931_DICDI,0.0363625500783383
t38315aep|CP131_DANRE,0.234523938165591
t38257aep|RAG1_XENLA,0.0743163472013406
t38253aep|ABCB1_DICDI,0.0241264744862464
t38310aep|FGFR3_DANRE,0.024018209216035
t38293aep|NALDL_RAT,0.0168577171474021
t32047aep|RTJK_DROME,0.00862142893713177
t32035aep|GRM8_HUMAN,0.0233828397268485
t32013aep|ZIFL1_ARATH,0.0152491737850457
t31997aep|ZNFX1_MOUSE,0.191524849004027
t32023aep|RTJK_DROME,0.0456936979186974
t32012aep|TTC3_HUMAN,0.0228240682289381
t35471aep|FHAD1_HUMAN,0.188026771498709
t35488aep|AGO2_HUMAN,1.06822206249849
t35456aep|PK1L2_MOUSE,0.0363625500783383
t35477aep|RTJK_DROME,0.113546237182099
t35472aep|DMXL1_HUMAN,0.0777747465317968
t31770aep|VWA3B_HUMAN,0.0200249524335652
t37577aep|RTJK_DROME,0.0287570286310545
t37526aep|TCB1_CAEBR,0.0363625500783383
t37553aep|TRA1_MAIZE,0.241728422597794
t37534aep|PGBD2_HUMAN,0.00743034762804527
t32976aep|ZMYM1_HUMAN,0.0483309247885301
t33022aep|R213A_DANRE,0.0215413563715676
t33020aep|TSP3_MOUSE,0.243842466562811
t32967aep|TRA1_MAIZE,0.0720723378083549
t33004aep|CNTP2_HUMAN,0.666056486276113
t35592aep|SE1L2_HUMAN,0.126744787677565
t35577aep|KLC_DORPE,0.00989575689407084
t35622aep|PGBD3_HUMAN,0.0303100429494098
t31763aep|RN103_MOUSE,0.0160933801792447
t35587aep|ZBED1_HUMAN,0.000647417875618027
t35620aep|RTJK_DROME,0.0800608284227539
t35573aep|SHL2_ORYSJ,0.642977902956415
t35607aep|RTJK_DROME,0.0211692646096927
t31766aep|SFT2A_MOUSE,0.184674860277481
t34247aep|TC1A_CAEEL,0.0190475644976738
t34234aep|BRWD1_HUMAN,0.0751781497199981
t34276aep|AGRG4_HUMAN,0.0193949630722036
t34245aep|AGRG2_MOUSE,0.0298722846116881
t37916aep|DEAH5_ARATH,0.0511543185243775
t37937aep|AL14E_RAT,0.0111923141861432
t37917aep|SUREJ_STRPU,0.022872579176315
