t33218aep|TACC3_XENLA,0.35281978097849
t33224aep|CD047_MOUSE,0.0946661057629868
t33213aep|CEP44_XENTR,0.0646959116962338
t33222aep|ENPP4_XENTR,0.157226392392889
t33869aep|OSBL8_MOUSE,0.0310440285242016
t33847aep|NAS15_CAEEL,0.0624545452878409
t33845aep|SEPT2_CHICK,0.169993503276895
t33861aep|GCC1_HUMAN,0.0658006165660606
t35776aep|KLC4_MOUSE,0.0319656833847014
t35781aep|NISCH_HUMAN,0.0299017199336423
t37409aep|ATS9_HUMAN,0.23787924648291
t37418aep|CHSS2_HUMAN,0.0126601211433419
t37421aep|RIMB1_RAT,0.0497374597897635
t37420aep|TTLL6_DANRE,0.0653377197952596
t32189aep|NINL_HUMAN,0.140180930529097
t38735aep|KAPR2_DROME,0.149542485267986
t38731aep|SAC2_DANRE,0.0748226953249928
t38139aep|FNBP4_MOUSE,0.00832202462081433
t38147aep|TCB2_CAEBR,0.0624545452878409
t38165aep|TYDP1_MOUSE,0.0076679241074463
t38169aep|CARTF_RAT,0.0515883895807985
t33063aep|GRP78_CHICK,2.28451402489902
t33061aep|TTLL4_CAEBR,0.0471932277602508
t32607aep|SMYD4_PONAB,0.150578640383132
t31426aep|ZN830_XENTR,0.0388962585112684
t31412aep|FND3A_HUMAN,0.30511383186984
t37797aep|TRI56_MOUSE,0.230440974677869
t37793aep|TDRD1_DANRE,0.038702910074178
t37786aep|RTBS_DROME,0.0624545452878409
t34517aep|ATG9A_PONAB,0.0224221565165949
t34493aep|VPP1_MOUSE,0.116549698368577
t34520aep|AGRG4_HUMAN,0.0499285939733235
t34497aep|CHIT3_DROME,0.0810566382214727
t34538aep|NAL12_HUMAN,0.0320607609939676
t37134aep|TILB_XENTR,0.0473903947303174
t37156aep|CHIA_MOUSE,0.180954161980142
t37164aep|PSD10_DICDI,0.0325439462008506
t36798aep|ASCC3_CHICK,0.152431661344504
t36785aep|PGBD4_HUMAN,0.0624545452878409
t31788aep|PRKDC_XENLA,0.0353834077836044
t31811aep|UBIQ_ENCCU,0.0895657569166188
t31810aep|TF28_SCHPO,0.0624545452878409
t36091aep|F166B_XENTR,0.132726392494819
t36103aep|CC171_HUMAN,0.112674573200135
t36104aep|SDK1_HUMAN,0.0759054061798721
t31311aep|NPA1P_HUMAN,0.00969178132925054
t31356aep|OTOF_HUMAN,0.03479133330239
t31354aep|CA2D4_HUMAN,0.0288079285638985
t31338aep|RTBS_DROME,0.0624545452878409
t31324aep|DOT1L_HUMAN,0.188476341791191
t31333aep|WSDU1_DANRE,0.00982734707458395
t37266aep|HARB1_HUMAN,0.00735350027120561
t37291aep|CE120_HUMAN,0.128931129277683
t37247aep|NAS13_CAEEL,0.0586764847656605
t37290aep|RIF1_MOUSE,0.0103527575086765
t37307aep|SPTCS_HUMAN,0.0558732774780521
t37243aep|PK2L1_MOUSE,0.0557347583143108
t31545aep|NEK10_MOUSE,0.00894849247091516
t31245aep|ZN266_HUMAN,0.00453950224797366
t34398aep|ZBED1_HUMAN,0.0624545452878409
t34425aep|ZMYM1_HUMAN,0.277717516981897
t34366aep|PLCL_MYTGA,0.0420114218950174
t34424aep|TRY3_SALSA,0.468320923965286
t34362aep|POL4_DROME,0.0624545452878409
t32564aep|AVIL_HUMAN,0.0891883414220289
t32521aep|POGK_MOUSE,0.0624545452878409
t32570aep|SYT11_HUMAN,0.0544865710700897
t38275aep|CATIN_HUMAN,0.0127516410831409
t38295aep|Y1931_DICDI,0.122821085325695
t38257aep|RAG1_XENLA,0.230703958340695
t38293aep|NALDL_RAT,0.0676064646647418
t32002aep|HMCN1_HUMAN,1.04472875458877
t32000aep|RET_RAT,0.0104003003970066
t35488aep|AGO2_HUMAN,0.127925693127512
t35477aep|RTJK_DROME,0.0144561552871389
t35461aep|THAP9_HUMAN,0.144347921116506
t37570aep|PKHG4_HUMAN,0.14814937547958
t31770aep|VWA3B_HUMAN,0.0461169476430678
t37553aep|TRA1_MAIZE,0.122821085325695
t37534aep|PGBD2_HUMAN,0.0581790951453851
t32976aep|ZMYM1_HUMAN,0.0387131322680163
t32984aep|RXR_BIOGL,0.435524610237828
t32973aep|JERKL_MOUSE,0.0356749806685334
t35561aep|SETMR_HUMAN,0.0624545452878409
t35590aep|RTBS_DROME,0.0461337137108848
t35608aep|DDX60_HUMAN,0.150535614168702
t35587aep|ZBED1_HUMAN,0.145535710129371
t35579aep|RTJK_DROFU,0.0347134241466344
t34201aep|RTJK_DROME,0.426166589886434
t34219aep|POL5_DROME,0.0553901032625042
t34261aep|AGRL3_BOVIN,0.210961341607481
t34248aep|JERKL_HUMAN,0.0472612598191956
t34246aep|THAP9_HUMAN,0.0744887216946702
t37937aep|AL14E_RAT,0.21418144100993
t37857aep|GIN1_HUMAN,0.00668878206343341
t37859aep|YTX2_XENLA,0.0682949627636356
t37876aep|PZP_HUMAN,0.113675987930538
t37917aep|SUREJ_STRPU,0.143736421490866
t37924aep|PELET_DROME,0.0460753613530466
t31773aep|OST4_RAT,0.695937658484814
t31767aep|FKBP9_RAT,1.730700823866
t36286aep|CAMT2_DICDI,0.0647287721004622
t31596aep|HSP13_HUMAN,0.199545901390881
t31595aep|ACBD6_RAT,0.0496101329623603
t37596aep|YBOX1_XENLA,0.0742943119599043
t36835aep|ADPRM_HUMAN,0.0624165489027699
t36831aep|S38AB_RAT,0.181250842332091
t36827aep|CAC1D_MESAU,0.039675007074442
t37209aep|TRAF6_BOVIN,0.0942579286286802
t36770aep|BAP1_DANRE,0.00457693489279482
t32451aep|LHX9_HUMAN,0.0624545452878409
t34857aep|U390_DANRE,0.0316451975075445
t34845aep|ALG13_RAT,0.0581114973792013
t37993aep|YC91_CAEEL,0.0624545452878409
t34122aep|MAD1_MOUSE,0.705982867466561
t34584aep|SIL1_MOUSE,1.11137462549809
t35746aep|ASPM_PONPY,0.0624545452878409
t34113aep|SPCS1_DROME,0.618720438030959
t34082aep|VATG_MANSE,0.907548296676059
t34064aep|RS27L_BOVIN,0.0430748173124558
t32699aep|OXSM_HUMAN,0.0260652363883951
t34824aep|PCR3_ARATH,0.0443219559228234
t36641aep|ELMD3_BOVIN,0.0831554334966543
t38004aep|TM242_DANRE,0.0281912415098448
t33638aep|TRPC5_RABIT,0.0624545452878409
t34633aep|TF2H5_CHICK,0.0534714903400897
t31552aep|DKGA_ECO57,0.128930713425605
t31471aep|APOB_RAT,0.0489451104144369
t34613aep|ANO6_MOUSE,0.292828060974948
t38527aep|ANK1_HUMAN,0.288940213994281
t38082aep|CD033_RAT,0.0880068342012497
t38626aep|CQ059_HUMAN,0.092333339855495
t32130aep|NPC2_DROME,0.270959035600293
t32133aep|SCOCB_DANRE,0.1197781620872
t35715aep|RN181_DANRE,0.0109896589974284
t36024aep|FKRP_MOUSE,0.122821085325695
t36022aep|CISD1_RAT,0.139386966267371
t36195aep|PYGO_DROME,0.151360268434164
t36201aep|B4GN4_HUMAN,0.0337799883448592
t35970aep|CNIH4_XENTR,0.0465345601733068
t31579aep|CAC1D_DROME,0.0624545452878409
t33292aep|UBP19_HUMAN,0.0385577646429823
t34900aep|MLC2_DROME,0.0160479968691925
t35753aep|POL_COYMV,0.0155533720208197
t33465aep|MA2B1_CAVPO,0.292828060974948
t33817aep|MEA1_BOVIN,0.0583766866015215
t36445aep|TDIF2_MOUSE,0.0312444798388397
t38708aep|GRM1_HUMAN,0.0624545452878409
t36301aep|MCPI_MELCP,0.0335981930039825
t33726aep|RTJK_DROME,0.0624545452878409
t34733aep|MCPI_MELCP,0.0981586020876027
t36351aep|FKBP2_MOUSE,0.0339927779076485
t32636aep|PIGZ_HUMAN,0.080121906780111
t37387aep|USPAL_ARATH,0.0624545452878409
t32801aep|RAB18_CHICK,0.0636872072374509
t34938aep|ITPA_NEMVE,0.0421276477444396
t32958aep|ANO7_HUMAN,0.048584041882418
t37512aep|FXRD2_HUMAN,1.24468255585808
t37234aep|G3ST1_BOVIN,0.646179691841643
t36310aep|CPI1_PIG,0.0028367447113704
