t32508aep|CLK2_MOUSE,0.769545304313692
t32517aep|IRF8_HUMAN,0.0645788991827523
t32515aep|ZFY26_BOVIN,0.0995862991109322
t32494aep|RBM45_MOUSE,0.987451220477538
t32516aep|DTNB_MOUSE,0.104865040301259
t36975aep|DYH5_HUMAN,0.0408867505727531
t36989aep|GPX5_PIG,0.148079587595119
t36976aep|WBS22_MOUSE,0.454102274812703
t36977aep|ECT_ACRMI,0.0374570124010805
t36988aep|FAT4_HUMAN,0.117088946270948
t37004aep|MICA2_RAT,0.00780847415421944
t36996aep|MPIP1_HUMAN,0.060606880848565
t37006aep|SVIL_MOUSE,0.191057584480867
t35158aep|LITH_RAT,0.0469323823303686
t35146aep|ABR_BOVIN,0.0401157833490078
t35144aep|NLTP_MOUSE,0.149566074720722
t35153aep|RTBS_DROME,0.045208959447898
t35148aep|MT21D_MOUSE,0.0604333991748536
t35149aep|5HT1F_HUMAN,0.21549126833529
t33517aep|OPSD2_MIZYE,0.174393395732391
t33520aep|DDX17_MOUSE,0.377976646435046
t33502aep|RET_RAT,0.0660676837184431
t33518aep|INT7_CHICK,0.0241112287716038
t38565aep|PDXK_HUMAN,0.0300551013886213
t38571aep|VLDLR_HUMAN,0.410185357231955
t38575aep|CC146_RAT,0.0532329349747307
t38574aep|DDX31_MOUSE,0.0361475130028598
t31277aep|NHEJ1_DANRE,0.0671832097328013
t33776aep|ASIC3_HUMAN,0.074055387960635
t33775aep|UB2G2_PONAB,0.0261227519463479
t31950aep|B3GN2_HUMAN,1.03077114802055
t31934aep|MENG_LEPIN,0.0194289996388121
t31929aep|CERS6_HUMAN,0.194675794288515
t31935aep|AP4S1_HUMAN,0.0464715485573123
t31931aep|ANK3_MOUSE,0.00267193277676263
t31956aep|ARID2_HUMAN,0.0466998271095131
t31957aep|DOCK1_HUMAN,0.0456560106898098
t31930aep|GXN_ACRMI,0.0369854571857108
t32745aep|PRRT1_MOUSE,0.0685349849434833
t32744aep|LMX1A_HUMAN,3.07561345474926
t32755aep|RBCC1_MOUSE,0.116333025675148
t33592aep|ZNT1_HUMAN,0.0130892728763581
t33595aep|FLT3_HUMAN,0.521058881680595
t33591aep|EXOS4_BOVIN,0.246030851153068
t33615aep|S43A3_BOVIN,0.045208959447898
t32376aep|FA96A_HUMAN,0.313432631261771
t32382aep|TCHP_DANRE,0.112047039219831
t32370aep|CREB_HYDVD,0.570589163081495
t38580aep|BCOR_HUMAN,0.0482765808524036
t38579aep|CB069_DANRE,0.150678280859521
t38581aep|HE_HEMPU,0.0611058141541315
t38596aep|FUT3_BOVIN,0.0893051690250628
t38586aep|KCNB1_PIG,0.045208959447898
t38582aep|TTC24_HUMAN,0.0163594609034866
t38423aep|WARA_DICDI,0.045208959447898
t38428aep|SIX6_HUMAN,0.045208959447898
