t34764aep|RSU1_BOVIN,0.277770861382653
t34577aep|ARSB_RAT,-0.0296868386515549
t34564aep|YMH6_CAEEL,-0.0728364522151064
t34581aep|PELI1_MOUSE,-0.0104718541708359
t38671aep|SETD7_HUMAN,0.0270330386506251
t38685aep|TBP_XENTR,0.0622912271010245
t38683aep|H10A_XENLA,0.142857760939223
t38674aep|S7A14_HUMAN,0.182872439818666
t38670aep|RADI_BOVIN,0.18968990096498
t38686aep|PIF1_PSYWF,0
t38672aep|SHL2_ORYSJ,0
t38673aep|RDR2_ORYSJ,0.0193797279753852
t38687aep|PTPRD_MOUSE,0.0193797279753852
t38680aep|PGAP3_XENTR,-0.033835912075124
t36972aep|FUCM_HUMAN,0.163561170339217
t32838aep|RASLC_DANRE,0.986583307881322
t32855aep|ZN205_BOVIN,0.0696323543493091
t32845aep|KTI12_DANRE,-0.0675012398067028
t32852aep|NPC2_DROME,0.0811858420870647
t32851aep|STX18_HUMAN,-0.00903040482283611
t32840aep|CNOT2_HUMAN,0.0753389430469548
t36490aep|CCD81_HUMAN,0.00538881301447157
t36502aep|NPHP3_HUMAN,0.0183425353372328
t36483aep|TAF8_DANRE,-0.0209997941406572
t36499aep|S22A5_HUMAN,-0.0325528253541985
t36496aep|TNAP3_MACFA,0.0343295879015086
t36491aep|VP37B_HUMAN,0.0133480165207058
t36495aep|TTC17_HUMAN,0
t36488aep|TIGD2_MOUSE,0.114121967771827
t36486aep|SCN1_HETBL,-0.00324253425486911
t38463aep|RS17_BOVIN,-0.375661449945698
t38464aep|AB1G_ARATH,0
t38465aep|SGT2_SCHPO,0
t34603aep|RWDD1_RAT,-0.0221711767759184
t34595aep|NDK_CHICK,0.290800895732863
t34609aep|SAL_SILAS,0
t34599aep|YTX2_XENLA,0.00551956352424755
t34608aep|CATL_SARPE,0.114121967771827
t34605aep|CRFR2_XENLA,-0.0294126112981281
t34604aep|RA51D_ARATH,0.0615469070550633
t34600aep|KPSH1_BOVIN,0.0975812739035723
t38354aep|TC1A_CAEEL,0
t38360aep|PIGL_RAT,-0.0171559495431886
t38363aep|DNAL4_PIG,0.425773358925024
t38358aep|PLK4_NEMVE,-0.018551582507244
t38365aep|TMOD2_RAT,2.21072668108836
t38366aep|DDRGK_TRIAD,-0.129379858645648
t32782aep|ARGLA_DANRE,-0.187138879572045
t37025aep|THG1_HUMAN,-0.00750795088173417
t32780aep|TBRG1_XENTR,-0.039207263169909
t32786aep|SETD4_HUMAN,-0.0356913881980745
t32789aep|OAR1_LYMST,0
t32785aep|HEBP1_MOUSE,3.75626459239773
t36266aep|MRC1_HUMAN,0
t36257aep|EDIL3_MOUSE,-0.0115047699970839
t36261aep|CTU2A_XENLA,-0.0989119653035476
t36265aep|TXND_THEPA,-0.0604800272951945
t36259aep|KLC4_HUMAN,0
t36270aep|Y1101_SYNY3,-0.235975245046596
t36256aep|RTBS_DROME,0.0193797279753852
t37211aep|RYK_MOUSE,0.0261250459037939
t37210aep|DPOD3_BOVIN,-0.0669636051665828
t37220aep|HMCN2_HUMAN,0.151065980237511
t37217aep|BAZ1A_HUMAN,-0.0452008474344676
t37214aep|ITA9_MOUSE,0.299077321386681
t37218aep|EF1G2_ARATH,0
t36465aep|PA1B3_RAT,0.0964345454540037
t36467aep|CEAM5_HUMAN,0.0193797279753852
t36474aep|RT06_BOVIN,0.0531299183784804
t36462aep|PAPOG_MOUSE,-0.0674888604648736
t36469aep|DNLI1_XENLA,0.048728313044365
t36466aep|TF2H1_HUMAN,-0.0326953944727101
t38654aep|BBS4_HUMAN,-0.0174333675494554
t38667aep|CAH5_CAEEL,0
t38666aep|EPHA3_MOUSE,0.0193797279753852
t38653aep|TOR1A_MACFA,0.899711480379391
t38657aep|CCD94_MOUSE,0
t38655aep|RRP44_HUMAN,-0.112388795420203
t38658aep|PKHG5_MOUSE,0.407509514634404
t35895aep|DAPLE_XENLA,0.41772199273743
t35885aep|PPR42_XENLA,0.0799947818313055
t35887aep|LIN1_NYCCO,0
t37029aep|USH2A_HUMAN,0.0193797279753852
t35890aep|PKD1_MOUSE,0.0319782868299964
t35898aep|NPHP3_XENLA,0.144055560645631
t38455aep|PDE11_DROME,-0.082032801951757
t38456aep|ELMD2_BOVIN,0.458935882331259
t38452aep|POL_MLVCB,0.0193797279753852
t38450aep|KCY_DANRE,0.239713975553021
t38457aep|RTEL1_DANRE,-0.065490676987138
t38458aep|PEBB_HUMAN,0.174800197392434
t31916aep|ZCRB1_XENLA,-0.0486974100190846
t31921aep|NXF1_COTJA,0.0200850541292328
t31918aep|RAD9A_MOUSE,0.0396836306822514
t31915aep|F149A_MOUSE,0.10172150317629
t34560aep|AMPN_RAT,0.0173404721770991
t34549aep|PP2C2_CAEEL,0.0460182413719567
t34547aep|UBP16_HUMAN,-0.0782494219867266
t34557aep|KDSR_BOVIN,-0.0204754953951459
t34555aep|TM107_DANRE,0.0211933241802837
t34548aep|KLC4_HUMAN,0
t34552aep|NPYR_DROME,0
t34559aep|XPA_XENLA,-0.149426588478251
t35295aep|RM09_RAT,-0.0696237266648072
t35293aep|ROC1_SPIOL,0
t35297aep|MATN4_HUMAN,0
t35307aep|DTD2_MOUSE,0.143497708122894
t35300aep|DJC11_PONAB,0.0951392821893891
t35296aep|MORN2_BOVIN,0.0222986324481518
t35299aep|APBLC_ARATH,0
t37101aep|OTX2B_XENLA,-0.0302497322441082
t37098aep|MUG1_MOUSE,0
t37097aep|THA11_DANRE,0.0386117052363264
t37105aep|SNPC3_BOVIN,0
t37095aep|AGRG4_HUMAN,0.142552262253207
t34987aep|FA47E_HUMAN,0.072601397898256
t34990aep|LYST_MOUSE,0.0088624590439647
t34989aep|MOG1_BOVIN,-0.0395819377699946
t34997aep|HBAP1_RAT,0.0251498178209356
t34991aep|RBM25_MOUSE,-0.25801818153606
t34996aep|RET_RAT,0.0284954001423278
t31900aep|FRIH_TREBE,3.15122206836022
t31904aep|RPB11_MOUSE,-0.0288899459055183
t31908aep|RSLBA_HUMAN,-0.0213477248009023
t31912aep|HSP70_HYDVU,0.451874473124918
t31905aep|DYH2_MOUSE,0
t31909aep|RBM25_MOUSE,-0.0106435369206152
t31899aep|AT1A_HYDVU,0.0332541857459292
