t33603aep|XPP1_MOUSE,0.0292422535138191
t32382aep|TCHP_DANRE,0.133459463573577
t32369aep|GAPR1_HUMAN,0.0253662744893542
t38579aep|CB069_DANRE,0.0275769141831693
t38581aep|HE_HEMPU,5.46050093188667
t38589aep|TC1A_CAEEL,0.0102945955412363
t38582aep|TTC24_HUMAN,0.00195915376923525
t38578aep|CAN7_MOUSE,0.0102945955412363
t38428aep|SIX6_HUMAN,0.0102945955412363
t38504aep|CATIP_DANRE,0.0615252909676312
t38506aep|ANK2_HUMAN,0.32131088876982
t38509aep|DCDC2_MOUSE,0.630378004268743
t38497aep|DDC_HUMAN,0.306200344776769
t38498aep|MARH1_HUMAN,0.0122518089541624
t31729aep|FREM2_MOUSE,0.18483730706349
t31723aep|NADA_APLCA,0.00731404898800599
t31725aep|TPC13_XENTR,0.0465041523681634
t31734aep|VITRN_MOUSE,0.00723770613351192
t33119aep|KINH_STRPU,0.151204584633295
t33109aep|DAG1_BOVIN,0.0102945955412363
t37461aep|EYS_HUMAN,0.0205640666875556
t37460aep|TBCEL_RAT,0.028444857684143
t36591aep|ZMYM1_HUMAN,0.0134996246622191
t36612aep|ERIC3_HUMAN,0.613304581542546
t34700aep|DRD1_BOVIN,0.0205640666875556
t34695aep|SORCN_SCHJA,0.0102945955412363
t34691aep|PLCL2_MOUSE,0.0550765739256943
t34701aep|TM223_HUMAN,0.0177504488023584
t32286aep|RIMS2_RAT,0.0692647834452472
t32283aep|PPBT_CHICK,1.12895044271792
t32275aep|CAN5_MOUSE,0.011343012189489
t32909aep|F228B_MOUSE,0.059147261656246
t32906aep|SNP47_RAT,0.0111324116845178
t32901aep|APBP2_RAT,0.0137819552890696
t32903aep|RTJK_DROME,0.0102945955412363
t32343aep|GRT1A_DANRE,0.19733942256131
t32346aep|TTLL4_HUMAN,0.0143906304919616
t32896aep|LOX5_RAT,0.14775291319953
t33224aep|CD047_MOUSE,0.444026139618805
t33213aep|CEP44_XENTR,0.0032702646861925
t33223aep|ZMYM1_HUMAN,0.0102945955412363
t33848aep|GRM8_HUMAN,0.0102945955412363
t33861aep|GCC1_HUMAN,0.0199560489150347
t35776aep|KLC4_MOUSE,0.0207352450468073
t35771aep|RASEF_MOUSE,0.00967469841424525
t37400aep|AMPP1_PENRW,0.554688002731147
t37402aep|NAC1_CAVPO,0.0681967636610867
t37409aep|ATS9_HUMAN,0.0205640666875556
t37422aep|ADA12_MOUSE,0.561301069685718
t37423aep|CCD83_MACFA,0.00373511548997155
t37417aep|GRM8_RAT,0.0512241069499468
t37418aep|CHSS2_HUMAN,0.0116010141711544
t37427aep|Y2R2_DROME,0.0102945955412363
t37414aep|KCNB1_PIG,0.0367899088112559
t37420aep|TTLL6_DANRE,0.810474824810235
t32202aep|B4GN4_HUMAN,0.0253662744893542
t32184aep|TCB2_CAEBR,0.0102945955412363
t32206aep|EGL15_CAEEL,0.127685977105763
t32191aep|TC1A_CAEEL,0.0308086523136467
t32187aep|GANAB_MOUSE,0.0141106832972309
t32192aep|MALT1_HUMAN,0.030815356199897
t38723aep|HDHD1_HUMAN,0.0103545224220628
t38728aep|EPB1B_XENLA,0.00839048648219606
t38154aep|S35E1_RAT,0.00670376794749604
t38166aep|CUBN_HUMAN,0.0102945955412363
t38158aep|JERKL_HUMAN,0.0205640666875556
t38162aep|RTXE_DROME,0.0102945955412363
t38172aep|CCD13_HUMAN,0.316357981918204
t38146aep|MLP_ACRMI,0.0410285881726592
t38169aep|CARTF_RAT,0.00969791098051339
