t33776aep|ASIC3_HUMAN,0.184199152157777
t31929aep|CERS6_HUMAN,0.0127736044673202
t31935aep|AP4S1_HUMAN,0.156615312754453
t31931aep|ANK3_MOUSE,0.00608406481686433
t31941aep|ZNT10_MOUSE,0.0212405663698195
t32736aep|GRM7_MOUSE,0.069361305982513
t32740aep|KLC4_HUMAN,0.0631920161308071
t33592aep|ZNT1_HUMAN,0.103640753054951
t33595aep|FLT3_HUMAN,2.13081244018008
t32376aep|FA96A_HUMAN,0.15377287715137
t32369aep|GAPR1_HUMAN,0.0639189281582204
t32370aep|CREB_HYDVD,1.5347441941213
t38580aep|BCOR_HUMAN,0.0283327178098535
t38579aep|CB069_DANRE,0.065535314093704
t38581aep|HE_HEMPU,0.0411619511115817
t38596aep|FUT3_BOVIN,0.069361305982513
t38586aep|KCNB1_PIG,0.795090350436216
t38582aep|TTC24_HUMAN,0.10691094108208
t38432aep|MYO3B_HUMAN,0.230492769610236
t38420aep|PLRKT_HUMAN,0.0312027241772381
t38504aep|CATIP_DANRE,0.17525189634539
t38510aep|ZN235_MOUSE,0.70277257549714
t38497aep|DDC_HUMAN,0.0542507619894624
t38498aep|MARH1_HUMAN,1.66610929746111
t31740aep|PPIL2_MOUSE,0.00411214539185893
t31729aep|FREM2_MOUSE,0.0979085513498985
t31723aep|NADA_APLCA,0.00513254599433465
t31734aep|VITRN_MOUSE,0.122434079072447
t31741aep|FBP1_STRPU,0.135760439626491
t33100aep|RTBS_DROME,0.069361305982513
t33104aep|SL9A8_HUMAN,0.0283888840683417
t33101aep|SAFB1_MOUSE,0.168606418531447
t37447aep|ANKS3_HUMAN,0.105009932954017
t37464aep|PK1L2_MOUSE,0.185162886437232
t36611aep|EDRF1_PONAB,0.104127022326201
t36606aep|TBD_CANLF,0.0556456404380925
t36612aep|ERIC3_HUMAN,1.06421599245509
t34689aep|RAB14_PONAB,0.150839947561535
t32286aep|RIMS2_RAT,1.88456318408698
t32273aep|CI172_HUMAN,0.307593707666057
t32295aep|CHD1_MOUSE,0.178113312009095
t32293aep|PKHM2_HUMAN,0.0390848247378892
t32275aep|CAN5_MOUSE,0.0601402514844461
t32909aep|F228B_MOUSE,0.166829634388652
