t23859aep|EGFL6_MOUSE,0.00673357100018024
t17575aep|ENDUB_DANRE,2.48236085433509
t17610aep|S17B1_XENLA,0.00673357100018024
t17581aep|TC1D2_HUMAN,0.321001645616949
t17590aep|NCAH_DROME,0.026613492471797
t30279aep|GORS2_HUMAN,0.0105988838020504
t24799aep|MGT5B_HUMAN,0.131070292549127
t27593aep|FGF20_RAT,0.00673357100018024
t27591aep|CNR1A_TAKRU,0.0765047196518429
t27581aep|AGRG4_MOUSE,0.0505463255215729
t12100aep|RSPO2_HUMAN,0.00625024032167861
t28913aep|KLC4_HUMAN,0.013489970902023
t26400aep|CONT_DROME,0.252854850444871
t26415aep|ATS7_RAT,0.013489970902023
t14402aep|PCR5_ARATH,0.00673357100018024
t27751aep|PYX_DROME,0.00673357100018024
t25235aep|CHAC2_DANRE,0.0885423372815528
t25232aep|KI18A_HUMAN,0.00238929955383367
t12001aep|MORN4_BOVIN,0.00673357100018024
t30337aep|ZMYM1_HUMAN,0.00383750034200035
t24328aep|HMCN2_MOUSE,0.0447592443929172
t24326aep|KIF7_DICDI,0.00673357100018024
t24325aep|YKX5_SCHPO,0.00673357100018024
t25004aep|TR1L1_XENLA,0.65321508167851
t29421aep|PRY3_YEAST,0.00673357100018024
t29411aep|TTC28_HUMAN,0.0174527824422489
t18628aep|RWDD4_HUMAN,0.00877723407504587
t26613aep|DAB_DROME,0.00634041801740867
t26322aep|ZIFL1_ARATH,0.0614213904350363
t24222aep|CCD34_HUMAN,0.0293060116225603
t2532aep|DNAL1_BOVIN,0.00188779186155653
t24217aep|CCD63_BOVIN,0.0430428320632217
t25826aep|UGDH_MOUSE,0.032439321537218
t25835aep|FAT2_DROME,0.00673357100018024
t5462aep|CCKAR_CAVPO,0.0493162859721219
t2507aep|DYH8_MOUSE,0.0202691698990936
t25829aep|CAH6_MOUSE,0.00673357100018024
t29121aep|MBD4_HUMAN,0.00559814876110487
t10991aep|COCA1_HUMAN,0.170975228341839
t24575aep|AB6A_ARATH,0.00450349815038649
t31094aep|FD4_DROME,0.0029316043665358
t25458aep|DYH2_MOUSE,0.00630580795996635
t30878aep|HENMT_RAT,0.00477675366329651
t30881aep|DAPK2_MOUSE,0.000304120351340892
t27148aep|ADRB2_TSCTR,0.568290991355483
t25394aep|DYH7_HUMAN,0.00673357100018024
t25396aep|NKX26_HUMAN,0.107520598154454
t4447aep|SRPRB_HUMAN,0.0758996523729893
t18857aep|PRY1_YEAST,5.802795195642
t28780aep|MLP_ACRMI,0.00673357100018024
t28784aep|POC5_XENLA,0.00467491890884944
t29446aep|FA5V_OXYSU,0.00673357100018024
t18862aep|SLIT_DROME,0.0921983370029755
t29006aep|Y381_RICFE,0.197897628508584
t24455aep|SEPR_MOUSE,0.156141849201576
t24452aep|AA2BR_CHICK,0.0905006943539945
t24438aep|NOS1_MOUSE,0.00673357100018024
t27107aep|SLNL1_HUMAN,0.013489970902023
t27833aep|CL056_HUMAN,0.00672188833883047
t29571aep|STAN_DROME,0.0270711375042366
t27520aep|LIN1_NYCCO,0.00673357100018024
t27530aep|HYDMA_HYDVU,0.171118546006903
t28896aep|CO6A5_MOUSE,0.00673357100018024
t30618aep|RPC7L_BOVIN,0.00345001345776541
t27882aep|OPN3_HUMAN,0.0863978415566516
t13247aep|GGT1_HUMAN,0.359983977212629
t13244aep|S6A19_PONAB,0.174437049723608
t26873aep|ZSC31_HUMAN,0.018844502005893
t26871aep|B4GN4_HUMAN,0.013489970902023
t4412aep|KCRB_CHICK,0.00673357100018024
t25373aep|P5CS_PONAB,0.0380580111869094
t25377aep|TC1A_CAEEL,0.00673357100018024
