t38053aep|GNPTA_DANRE,0.0333096740759807
t32957aep|INT5_MOUSE,0.0341773934789477
t32958aep|ANO7_HUMAN,0.173967938623246
t36311aep|CN166_MOUSE,0.0230801515379039
t32653aep|DRAM2_MOUSE,0.355932955944057
t36342aep|NAPEP_HUMAN,0.0524803766144813
t33934aep|TBB4B_MESAU,0.0966889771748318
t33926aep|TEAD1_HUMAN,0.0966889771748318
t31704aep|C1GLT_DROME,0.167316296405061
t37842aep|MOB1B_MOUSE,0.0233376092193297
t37087aep|REV1_HUMAN,0.0883767194414384
t37085aep|STK16_RAT,0.0209942531939027
t26086aep|ADRO_RAT,0.0381798271782646
t26085aep|TBA_LYTPI,0.716499982982956
t26076aep|JAZF1_MOUSE,0.169974861938381
t5711aep|TLL2_HUMAN,0.0376017451024819
t5701aep|AXIN1_HUMAN,0.331898159200905
t20399aep|ELAV2_XENTR,2.15131546469152
t29959aep|OPN4B_XENLA,0.0966889771748318
t1163aep|NOT2_XENLA,0.0966889771748318
t1172aep|STX17_HUMAN,0.0317295550237957
t15202aep|AP3B2_HUMAN,0.00265233641919734
t28621aep|RBX1A_DROME,0.120203561947649
t15201aep|DPTOR_MOUSE,0.221087426229446
t28624aep|MAD_DROME,0.326447997600705
t10144aep|HS12A_HUMAN,0.451225855350769
t25928aep|FPPS_BOVIN,0.080031073350149
t5706aep|YXIE_BACSU,0.380261715266184
t25939aep|MNT_XENLA,0.172922036392242
t28846aep|BROMI_MOUSE,0.0966889771748318
t28848aep|KAD5_BOVIN,0.547037900070391
t28851aep|TAPT1_MOUSE,0.0781902327446437
t28849aep|FH20_ARATH,0.0966889771748318
t25932aep|SPX3_BOVIN,0.0900684663639559
t28510aep|CEP83_MOUSE,0.13894617650042
t28512aep|RAP1_CAEEL,0.712033257347541
t28513aep|LAR_CAEEL,0.13533258357954
t4095aep|PNCA_ECOLI,0.466874481279088
t4082aep|PDCD6_HUMAN,0.155219438881678
t4094aep|COQ7_MOUSE,0.00584092706276148
t4083aep|NHLC2_HUMAN,0.499584905695155
t4091aep|SAMC_XENLA,0.0132387004372412
t1826aep|TRI33_XENLA,0.0634616977600477
t21698aep|INP4A_RAT,0.0114191878310683
t30495aep|GSLG1_CHICK,0.00728876093358091
t30500aep|DCL3B_ORYSJ,0.153506979324283
t30502aep|UNC89_CAEEL,0.097793619830553
t21704aep|ZEUS1_ARATH,0.198743022674385
t26432aep|KCNK9_XENLA,0.896434744213964
t26440aep|RBP1_HUMAN,0.0343818710037758
t7690aep|RFT1_HUMAN,0.133879922009235
t4232aep|MARE3_HUMAN,0.725878886773091
t25306aep|COPE_PONAB,0.109012141060223
t28473aep|GAPR1_HUMAN,0.0966889771748318
t14425aep|CNOT1_DANRE,0.0342659544871978
t12908aep|DESI1_RAT,0.113108092871211
t14434aep|ZN267_HUMAN,0.100918070547826
t27792aep|MLP_ACRMI,0.063056233271166
t13218aep|MTOR_MOUSE,0.356060903790448
t13229aep|RN151_BOVIN,0.00270623638302968
