t36462aep|PAPOG_MOUSE,0.0725946519154832
t36469aep|DNLI1_XENLA,0.0718193517752922
t36466aep|TF2H1_HUMAN,0.0863982178070813
t38667aep|CAH5_CAEEL,0.00263115248132942
t38666aep|EPHA3_MOUSE,0.0105476691756932
t38655aep|RRP44_HUMAN,0.270250180683381
t38658aep|PKHG5_MOUSE,0.258666303503938
t35895aep|DAPLE_XENLA,0.268990884977121
t35890aep|PKD1_MOUSE,0.0103515282695799
t35898aep|NPHP3_XENLA,0.00089456890097457
t38455aep|PDE11_DROME,0.0471005248105065
t38456aep|ELMD2_BOVIN,0.510856413223108
t38452aep|POL_MLVCB,0.00263115248132942
t38450aep|KCY_DANRE,0.0695177332062715
t38457aep|RTEL1_DANRE,0.0534105664269871
t38458aep|PEBB_HUMAN,0.212819580081843
t31916aep|ZCRB1_XENLA,0.0484175570268285
t31921aep|NXF1_COTJA,0.136218471790868
t31918aep|RAD9A_MOUSE,0.0779160951686946
t34549aep|PP2C2_CAEEL,0.135203025669147
t34547aep|UBP16_HUMAN,0.0241143411119334
t34557aep|KDSR_BOVIN,0.145520151291077
t34548aep|KLC4_HUMAN,0.0079049884928549
t34552aep|NPYR_DROME,0.0913989439993689
t35297aep|MATN4_HUMAN,0.00526614911684996
t35300aep|DJC11_PONAB,0.221289620734652
t35296aep|MORN2_BOVIN,0.00218567164201315
t37097aep|THA11_DANRE,0.0227134015292085
t37105aep|SNPC3_BOVIN,0.11847457988441
t34990aep|LYST_MOUSE,0.133405124973539
t34989aep|MOG1_BOVIN,0.000791573853617009
t34997aep|HBAP1_RAT,0.0207535245547848
t34991aep|RBM25_MOUSE,0.016303875887634
t34996aep|RET_RAT,0.0110404705120546
t31912aep|HSP70_HYDVU,0.935062910881636
t31905aep|DYH2_MOUSE,0.0079049884928549
t31910aep|CAH1_RAT,0.00526614911684996
t38176aep|APC1_MOUSE,0.0531121457805126
t36373aep|RTXE_DROME,0.00263115248132942
t38183aep|APC_RAT,0.122131289425604
t38182aep|GRM4_MOUSE,0.0158445486277315
t38186aep|CRYAB_BOVIN,0.680830106279313
t32713aep|SDA1_RAT,0.340655379530352
t32714aep|TENS1_HUMAN,0.366327493616738
t32717aep|STX12_MOUSE,0.121652676527298
t35366aep|XRN1_HUMAN,0.0482811233302918
t35365aep|SGCD_HUMAN,0.0694411076353515
t35368aep|DCP2_MOUSE,0.0401604141729498
t35373aep|RS14_MARMM,0.172837327394936
t35372aep|ELYS_XENLA,0.166464760077731
t34194aep|THNS2_MOUSE,0.0367901268755494
t34190aep|CRFR2_MOUSE,0.042558910366841
t34181aep|HARB1_DANRE,0.0079049884928549
t36376aep|RTBS_DROME,0.0105476691756932
t34186aep|BRPF1_HUMAN,0.0214494383402387
t32768aep|KLC4_MOUSE,0.0131941897118008
t32769aep|KLC4_HUMAN,0.00526614911684996
t32772aep|P4R3A_MOUSE,0.308162975706778
t32762aep|RAD50_MOUSE,0.101205787393515
t32760aep|BRM_DROME,0.142523868395347
t32779aep|SNR48_HUMAN,0.093849903111704
t33147aep|MFSD8_DANRE,0.813364512086509
t33151aep|LAT3_MOUSE,0.00526614911684996
t33149aep|TOLL6_DROME,0.0129898606908855
t32180aep|MYLK_SHEEP,1.12639106634328
t32160aep|MYD88_HUMAN,0.0840202324460882
t32166aep|GBB5_PONAB,0.0409817900520203
t36935aep|KCNC1_HUMAN,0.00263115248132942
t36927aep|PLXA3_RAT,0.443979540009122
t36922aep|KLC4_HUMAN,0.00263115248132942
t36933aep|ATG2B_HUMAN,0.0542949313362099
t36930aep|RTJK_DROME,0.00263115248132942
t36928aep|CACB2_RABIT,0.176430618015392
t36920aep|SWI5_HUMAN,0.0474186958756139
t36923aep|ZGRF1_MOUSE,0.0151621493658535
t35832aep|SPTN1_HUMAN,0.148601405163831
t35829aep|PLPL9_HUMAN,0.0178695385600349
t35009aep|SPB10_BOVIN,0.0959866678110121
t35000aep|S23IP_MOUSE,0.0750064314256503
t35017aep|HSF_XENLA,0.150531945249955
t35008aep|OPN4_PHOSU,0.00263115248132942
t35011aep|HEMK1_HUMAN,0.00927987626192344
t34999aep|SRBP1_PIG,0.0902639427347846
t35003aep|CTNS_HUMAN,0.0699498860694872
t35006aep|CER1_HUMAN,0.0992216144726286
t32094aep|TCB2_CAEBR,0.00945039138759137
t32106aep|TLN2_HUMAN,0.701884131560343
t32108aep|FITM2_XENTR,0.00972623777219918
t32103aep|CUL1_ARATH,0.00263115248132942
t32112aep|HACE1_HUMAN,0.197839141316957
t32111aep|TAF9B_RAT,0.0242815674587727
t32101aep|NEK4_HUMAN,0.0551209961623096
t32107aep|PPIL4_HUMAN,0.38691274225875
t32316aep|IPP_HUMAN,0.000548937104101331
t32313aep|USP9X_HUMAN,0.180783239252269
t32319aep|AAPK2_HUMAN,0.061842244989677
t32323aep|SYMC_XENLA,0.126194985304625
t36032aep|ABCA1_HUMAN,0.164482251668396
t36035aep|TCEA2_HUMAN,0.180239598605118
t35694aep|NLTP_MOUSE,0.153211923805929
t35700aep|TWHH_DANRE,0.0526886110896372
t35701aep|HOME2_HUMAN,0.0201543482225126
t35698aep|VPS36_XENLA,0.00516902867302357
t32148aep|DPOA2_HUMAN,0.00263115248132942
