t37422aep|ADA12_MOUSE,0.437560224782848
t37423aep|CCD83_MACFA,0.00153270534060962
t37418aep|CHSS2_HUMAN,0.0322214620546305
t37405aep|OTOF_DANRE,0.0178083566609126
t37420aep|TTLL6_DANRE,0.391029269167913
t32202aep|B4GN4_HUMAN,0.0456359826694567
t32188aep|ZBED4_HUMAN,0.0237171519421216
t32212aep|PIGB_BOVIN,0.00245852287688399
t32206aep|EGL15_CAEEL,0.0871059383745724
t32191aep|TC1A_CAEEL,0.0091907562565118
t32200aep|S35F6_HUMAN,0.000502693540158176
t32187aep|GANAB_MOUSE,0.0294753855512202
t38735aep|KAPR2_DROME,0.162494095076307
t38730aep|FBN1_PIG,0.0091907562565118
t38721aep|TC3A_CAEEL,0.0091907562565118
t38728aep|EPB1B_XENLA,0.0210905207935137
t38159aep|TPGS2_HUMAN,0.0539981683538328
t38165aep|TYDP1_MOUSE,0.00537372596964792
t38158aep|JERKL_HUMAN,0.0183616565381938
t38172aep|CCD13_HUMAN,0.313826925147894
t38152aep|TNPO3_HUMAN,0.0168873444998275
t38146aep|MLP_ACRMI,0.045756894878937
t38157aep|ABH15_MOUSE,0.0696395942534201
t37750aep|ABHD8_BOVIN,0.0118679292894043
t37746aep|USH2A_HUMAN,0.0183616565381938
t37748aep|NATD1_XENTR,0.0468758546209054
t37760aep|RTJK_DROME,0.0245699952094079
t33059aep|TIGD1_HUMAN,0.0366445604624194
t33040aep|IQCB1_MOUSE,0.0264901646978143
t33073aep|PMGT1_BOVIN,0.983597385487917
t33048aep|CAN7_HUMAN,0.0836855656386286
t32607aep|SMYD4_PONAB,0.117669846667217
t37484aep|HMP_OCEIH,0.835169563980737
t32590aep|SGSM1_MOUSE,0.0156360894679705
t35679aep|KAD9_HUMAN,0.0625901036873599
t35677aep|PGDH_HUMAN,1.6152646899031
t35654aep|TOP3B_ARATH,0.0275558300794238
t31398aep|ANPRB_HUMAN,0.0410605395412631
t31412aep|FND3A_HUMAN,0.255096527486448
t31393aep|MEC2_CAEEL,0.302686844429009
t31424aep|CFA57_MOUSE,0.116869340948668
t31404aep|MOS1T_DROMA,0.0091907562565118
t31409aep|TRF6A_XENLA,0.010968534334088
t31408aep|TRF6A_XENLA,0.0168239738557048
t31419aep|ISPD_XENTR,0.00313587074343755
t37796aep|DC2L1_HUMAN,0.0918969214173254
t37803aep|SPNS1_DANRE,0.0905521066567122
t35813aep|GRM3_MACFA,0.0091907562565118
t35801aep|NOS1_MOUSE,0.0782835796107505
t35803aep|GT2D2_BOVIN,0.186887642385435
t34490aep|PK1L2_MOUSE,0.0358893798136148
t34501aep|MSH6_HUMAN,0.00028304498794394
t34523aep|K1468_XENTR,0.00160378540624487
t34509aep|RTJK_DROME,0.0275128691562602
t34517aep|ATG9A_PONAB,0.0668336664243007
t34502aep|TCB1_CAEBR,0.0091907562565118
t34520aep|AGRG4_HUMAN,0.690183988853842
t34506aep|C163A_CANLF,0.0091907562565118
