WHL22.16301	WHL22.16301	Gene Expression
WHL22.16305	WHL22.16305	Gene Expression
WHL22.16316	WHL22.16316	Gene Expression
WHL22.16320	WHL22.16320	Gene Expression
WHL22.16487	WHL22.16487	Gene Expression
WHL22.16586	WHL22.16586	Gene Expression
WHL22.16607	WHL22.16607	Gene Expression
WHL22.15041	WHL22.15041	Gene Expression
WHL22.15048	WHL22.15048	Gene Expression
WHL22.15187	WHL22.15187	Gene Expression
WHL22.14836	WHL22.14836	Gene Expression
WHL22.14855	WHL22.14855	Gene Expression
WHL22.14951	WHL22.14951	Gene Expression
WHL22.15177	WHL22.15177	Gene Expression
WHL22.15223	WHL22.15223	Gene Expression
WHL22.15236	WHL22.15236	Gene Expression
WHL22.14988	WHL22.14988	Gene Expression
WHL22.15056	WHL22.15056	Gene Expression
WHL22.16482	WHL22.16482	Gene Expression
WHL22.16634	WHL22.16634	Gene Expression
WHL22.16661	WHL22.16661	Gene Expression
WHL22.16850	WHL22.16850	Gene Expression
WHL22.16865	WHL22.16865	Gene Expression
WHL22.16898	WHL22.16898	Gene Expression
WHL22.15119	WHL22.15119	Gene Expression
WHL22.15170	WHL22.15170	Gene Expression
WHL22.15174	WHL22.15174	Gene Expression
WHL22.15432	WHL22.15432	Gene Expression
WHL22.15245	WHL22.15245	Gene Expression
WHL22.15250	WHL22.15250	Gene Expression
WHL22.15613	WHL22.15613	Gene Expression
WHL22.15612	WHL22.15612	Gene Expression
WHL22.15257	WHL22.15257	Gene Expression
WHL22.15401	WHL22.15401	Gene Expression
WHL22.15404	WHL22.15404	Gene Expression
WHL22.16108	WHL22.16108	Gene Expression
WHL22.15607	WHL22.15607	Gene Expression
WHL22.15960	WHL22.15960	Gene Expression
WHL22.15641	WHL22.15641	Gene Expression
WHL22.15704	WHL22.15704	Gene Expression
WHL22.15727	WHL22.15727	Gene Expression
WHL22.15917	WHL22.15917	Gene Expression
WHL22.16001	WHL22.16001	Gene Expression
WHL22.15992	WHL22.15992	Gene Expression
WHL22.17034	WHL22.17034	Gene Expression
